fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2013-04-16,-2803647,1139781,,,4167962,-519493.0,,-2.459812016518963,,,,3.6568095098970765
2012-12-31,2013-04-16,-2308045,123142,,,5196055,-806737.0,,-18.74295528739179,,,,42.19563593250069
2013-12-31,2014-04-15,-984759,-479573,,,5047367,68808.0,,2.0534079274688106,,,,
2014-12-31,2015-03-31,-660247,-1086814,,,4880480,-132799.0,,0.6075068963042434,,,,
2015-12-31,2016-03-30,-694340,-1750646,,,5143457,,,0.3966193051022308,,,,
2016-12-31,2017-04-18,-893390,1730401,,,4112469,57144.0,,-0.5162907326105336,,,,2.3765988346053892
2017-12-31,2018-04-17,-188493,1583151,0.0,,4814877,478679.0,,-0.1190619214465329,,,,3.0413251799733567
2018-12-31,2019-04-01,259793,1803906,0.0,128139418.0,4367750,541305.0,,0.1440169277113109,0.014077682169588128,,,2.421273614035321
2019-12-31,2020-04-14,69860,1796196,0.0,,5614742,799666.0,40355.0,0.03889330563034324,,759311.0,,3.1259071949831756
2020-12-31,2021-03-31,200016,2015663,0.0,,5831156,1110679.0,181072.0,0.0992308734148516,,929607.0,,2.8929220807248037
2021-12-31,2022-03-31,267844,22717273,0.03,,3720178,-360690.0,455835.0,0.011790323600900513,,-816525.0,,0.16375988438401035
2022-12-31,2023-03-31,-4356802,19101884,-0.64,,5139040,663801.0,127257.0,-0.22808231900057607,,536544.0,,0.2690331487721316
2023-12-31,2024-03-28,381575,19991363,0.05,,3546604,3873047.0,1545017.0,0.019086992717805184,,2328030.0,,0.17740681313225115
2024-12-31,2025-03-31,523214,21419055,0.07,,4108250,1740089.0,1800364.0,0.024427501586788025,,-60275.0,,0.19180351327357814
