fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-01-30,2012-03-16,6110000,93223000,0.14,,0.06554176544415005,
2011-01-29,2012-03-16,15371000,111332000,0.32,,0.13806452771889483,
2012-01-28,2012-03-16,42663000,154358000,0.89,,0.2763899506342399,
2013-02-02,2013-03-15,6126000,161212000,0.13,,0.03799965263131777,
2014-02-01,2014-03-17,-59786000,104971000,-1.23,,-0.5695477798630098,
2015-01-31,2015-03-25,-12295000,92390000,,,-0.133077172854205,
2016-01-30,2016-03-18,-8408000,88404000,,,-0.09510881860549296,
2017-01-28,2017-03-20,-2256000,88520000,,,-0.025485765928603705,
2018-02-03,2018-03-23,-18826000,69986000,,,-0.268996656474152,
2019-02-02,2019-03-22,-13531000,58640000,,,-0.23074693042291952,
2020-02-01,2020-03-19,-7796000,58423000,-0.16,,-0.13344059702514421,
2021-01-30,2021-03-19,-64538000,-4077000,-1.26,,15.829776796664214,
2022-01-29,2022-03-17,56713000,58219000,0.83,,0.9741321561689483,
2023-01-28,2023-03-16,89123000,137228000,1.33,,0.6494520068790626,
2024-02-03,2024-03-21,27854000,148953000,0.43,,0.1869985834457849,
2025-02-01,2025-03-20,3055000,141223000,0.05,,0.02163245363715542,
2026-01-31,2026-03-19,-35908000,108094000,-0.66,,-0.3321923511018188,
