fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-26,2012-03-22,-42241000,66349000,-3.42,,-0.6366486307254066,
2010-12-25,2012-03-22,-4654000,62430000,-0.37,,-0.07454749319237546,
2011-12-31,2012-03-22,986000,64385000,0.08,,0.015314125961015765,
2012-12-29,2013-03-25,-927000,64046000,-0.07,,-0.014473971832745215,
2013-12-28,2014-03-12,5290000,70771000,0.39,,0.07474813129671758,
2014-12-27,2015-03-12,-1402000,92977000,-0.11,,-0.015078998031771299,
2015-12-26,2016-03-09,-2426000,90804000,-0.16,,-0.026716884718734856,
2016-12-31,2017-03-13,-5278000,87122000,-0.34,,-0.06058171300016069,
2017-12-30,2018-03-13,-9555000,79263000,-0.6,,-0.12054804890049582,
2018-12-29,2019-03-08,-21384000,58984000,-1.35,,-0.36253899362538994,
2019-12-28,2020-03-12,15271000,73211000,0.93,,0.20858887325675105,
2020-12-26,2021-03-10,-9208000,63791000,-0.6,,-0.14434638115094606,
2021-12-25,2022-03-23,1616000,66375000,0.09,,0.024346516007532956,
2022-12-31,2023-03-08,-35079000,31514000,-2.32,,-1.1131243256965158,
2023-12-30,2024-03-20,-2718000,29291000,-0.18,,-0.09279300809122255,
2024-12-28,2025-04-08,-13000000,16218000,-0.88,,-0.8015784930324331,
2025-12-27,2026-03-26,-7615000,8798000,-0.52,,-0.8655376221868607,
