fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2014-03-21,-536000,30964000,-0.33,,-0.01731042500968867,
2013-12-31,2014-03-21,-1914000,167180000,-0.29,,-0.011448737887307095,
2014-12-31,2015-03-12,16168000,163365000,1.77,,0.09896856731858109,
2015-12-31,2016-03-10,30000,144855000,0.0,,0.00020710365537951746,
2016-12-31,2017-03-13,11906000,141677000,1.31,,0.08403622324018718,
2017-12-31,2018-03-14,10788000,192703000,0.93,,0.055982522327104406,
2018-12-31,2019-03-08,-11295000,153822000,-0.88,,-0.07342902835745212,
2019-12-31,2020-03-12,22256000,160844000,1.79,,0.13837009773445078,
2020-12-31,2021-03-16,20112000,166402000,1.63,,0.12086393192389515,
2021-12-31,2022-03-11,-6309000,154225000,-0.5,,-0.04090776462959961,
2022-12-31,2023-03-10,-30198000,112409000,-2.29,,-0.26864396978889593,
2023-12-31,2024-03-12,4559000,136238000,0.31,,0.03346349770254995,
2024-12-31,2025-03-31,6586000,193726000,0.28,,0.0339964692400607,
2024-03-31,2025-06-23,3961000,142917000,0.2,,0.0277153872527411,
2025-03-31,2025-06-23,-7870000,228501000,-0.23,,-0.03444186239885164,
