fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-06-24,2011-08-29,79166000,646924000,0.77,,,,88152000,0.12237295261885477,,,,
2010-06-30,2011-08-29,137704000,728748000,1.34,,,,60879000,0.1889596952581688,,,,
2011-06-29,2011-08-29,141060000,438910000,1.53,,,,70361000,0.3213870725205623,,,,
2012-06-27,2012-08-27,151232000,309873000,1.87,,,,125226000,0.48804510234838144,,,,
2013-06-26,2013-08-26,163359000,149357000,2.2,,,290688000.0,131531000,1.0937485353883647,,159157000.0,,
2014-06-25,2014-08-25,154039000,63094000,2.26,,,359842000.0,161066000,2.441420737312581,,198776000.0,,
2015-06-24,2015-08-24,196694000,-78460000,3.05,,,368611000.0,140262000,-2.5069334692837115,,228349000.0,,
2016-06-29,2016-08-29,200745000,-213099000,3.42,,,394700000.0,112788000,-0.942026945222643,,281912000.0,,
2017-06-28,2017-08-28,150823000,-493681000,2.94,,,312886000.0,102573000,-0.3055069974335654,,210313000.0,,
2018-06-27,2018-08-27,125882000,-718309000,2.72,,,284451000.0,101281000,-0.17524769980607233,,183170000.0,,
2019-06-26,2019-08-22,154900000,-778200000,3.96,,,212700000.0,167600000,-0.1990490876381393,,45100000.0,,
2020-06-24,2020-08-24,24400000,-479100000,0.63,,,245000000.0,104500000,-0.0509288248799833,,140500000.0,,
2021-06-30,2021-08-26,131600000,-303300000,2.83,,,369700000.0,94000000,-0.4338938344873063,,275700000.0,,
2022-06-29,2022-08-26,117600000,-268100000,2.58,,,252200000.0,150300000,-0.4386422976501306,,101900000.0,,
2023-06-28,2023-08-23,102600000,-144300000,2.28,,,256300000.0,184900000,-0.7110187110187111,,71400000.0,,
2024-06-26,2024-08-21,155300000,39400000,3.4,,,421900000.0,198900000,3.9416243654822334,,223000000.0,,
2025-06-25,2025-08-15,383100000,370900000,8.32,,,679000000.0,265300000,1.03289296306282,,413700000.0,,
2026-06-24,2026-08-19,487000000,443700000,10.87,,,789400000.0,231900000,1.097588460671625,,557500000.0,,
