fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-02-21,1003000000,11274000000,3.47,,,2381000000,28000000.0,0.08896576193010466,,2353000000.0,,
2011-12-31,2012-02-21,1062000000,11649000000,3.57,,,3137000000,80000000.0,0.09116662374452743,,3057000000.0,,
2012-12-31,2013-02-21,1141000000,11869000000,3.86,,,2599000000,152000000.0,0.09613278287977083,,2447000000.0,,
2013-12-31,2014-02-21,1062000000,12245000000,3.61,,,2552000000,199000000.0,0.08672927725602286,,2353000000.0,,
2014-12-31,2015-02-19,1092000000,12576000000,3.71,,,2831000000,180000000.0,0.0868320610687023,,2651000000.0,,
2015-12-31,2016-02-18,1193000000,13052000000,4.05,,,3277000000,492000000.0,0.09140361630401471,,2785000000.0,,
2016-12-31,2017-02-16,1245000000,14298000000,4.12,,,3459000000,845000000.0,0.08707511540075535,,2614000000.0,,
2017-12-31,2018-02-15,1525000000,15418000000,4.94,,,3367000000,415000000.0,0.09891036450901544,,2952000000.0,,
2018-12-31,2019-02-21,1382000000,16726000000,4.42,,,2695000000,5249000000.0,0.08262585196699748,,-2554000000.0,,
2019-12-31,2020-02-20,1343000000,18022000000,4.08,,,3134000000,3676000000.0,0.07452003107313283,,-542000000.0,,
2020-12-31,2021-02-18,1101000000,18847000000,3.28,,,2198000000,4085000000.0,0.058417785323924235,,-1887000000.0,,
2021-12-31,2022-02-17,1346000000,20037000000,3.85,,,2733000000,3964000000.0,0.0671757249089185,,-1231000000.0,,
2022-12-31,2023-02-16,1660000000,20687000000,4.66,,,3935000000,4465000000.0,0.08024363126601247,,-530000000.0,,
2023-12-31,2024-02-15,2519000000,21158000000,7.21,,,2156000000,,0.11905662160884772,,,,
2024-12-31,2025-02-20,1820000000,21962000000,5.24,,,3614000000,,0.0828704125307349,,,,
2025-12-31,2026-02-19,2023000000,24190000000,5.64,,,4800000000,,0.08362959900785448,,,,
