fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-30,-11015000,11505000,,,,-10562000.0,182000.0,-0.9574098218166015,,-10744000.0,,
2010-12-31,2012-03-30,-8517000,6658000,,,13716000.0,1493000.0,332000.0,-1.279212976869931,,1161000.0,,2.0600781015319916
2011-12-31,2012-03-30,-6055000,1468000,,,12310000.0,-2617000.0,256000.0,-4.124659400544959,,-2873000.0,,8.385558583106267
2012-12-31,2013-03-27,-5709000,825000,-1.38,,13528000.0,-6966000.0,332000.0,-6.92,,-7298000.0,,16.39757575757576
2013-12-31,2014-03-27,-2361000,2924000,-0.49,,9884000.0,-7215000.0,213000.0,-0.8074555403556771,,-7428000.0,,3.3803009575923393
2014-12-31,2015-03-12,-5845000,9773000,-0.75,,9723000.0,-1425000.0,221000.0,-0.5980763327535046,,-1646000.0,,0.9948838637061291
2015-12-31,2016-03-10,8780000,45320000,0.82,,10382000.0,,2242000.0,0.19373345101500442,,,,0.2290820829655781
2016-12-31,2017-02-23,-16887000,29938000,-1.45,,5040000.0,,1624000.0,-0.5640657358540985,,,,0.16834791903266752
2017-12-31,2018-02-22,-11267000,19292000,-0.95,,2859000.0,-5874000.0,162000.0,-0.5840244660999377,,-6036000.0,,0.14819614347916235
2018-12-31,2019-04-01,-9111000,11052000,,,7440000.0,-6795000.0,57000.0,-0.8243756786102063,,-6852000.0,,0.6731813246471227
2019-12-31,2020-03-24,-7373000,3996000,,,7743000.0,-6624000.0,132000.0,-1.845095095095095,,-6756000.0,,1.9376876876876876
2020-06-30,2021-03-25,-4340000,1714000,-1.36,,,,,-2.5320886814469077,,,,
2020-12-31,2021-03-25,-5981000,4255000,0.01,,8142000.0,-2451000.0,223000.0,-1.4056404230317274,,-2674000.0,,1.9135135135135135
2021-12-31,2022-03-17,-7886000,6209000,-0.5,,8182000.0,-9765000.0,443000.0,-1.2700918022225802,,-10208000.0,,1.3177645353519085
2022-09-30,2023-03-23,-2662000,5000000,-0.29,,,,,-0.5324,,,,
2022-12-31,2023-03-23,-10279000,-477000,-0.23,,8975000.0,-6713000.0,41000.0,21.549266247379453,,-6754000.0,,
2023-12-31,2024-03-22,-4293000,3051000,,,7149000.0,-2439000.0,69000.0,-1.407079646017699,,-2508000.0,,2.343166175024582
2024-12-31,2025-03-25,-1582000,2915000,-0.32,,2697000.0,-1297000.0,19000.0,-0.5427101200686106,,-1316000.0,,0.9252144082332762
2025-12-31,2026-03-24,-1027000,4109000,-0.18,,1000000.0,-1404000.0,54000.0,-0.24993915794597227,,-1458000.0,,0.2433682161109759
