fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-12,37340000,191525000,0.65,,42157000,45515000.0,,0.19496149327764,,,,0.22011225688552408
2011-12-31,2012-03-12,34145000,229124000,0.59,,41948000,89585000.0,,0.1490241092159704,,,,0.18307990433127913
2012-12-31,2013-03-14,631000,212525000,0.01,,55431000,93958000.0,71915000.0,0.0029690624632396187,,22043000.0,,0.2608210798729561
2013-12-31,2014-03-13,43072000,250874000,0.74,,57293000,75401000.0,66879000.0,0.17168777952278833,,8522000.0,,0.22837360587386496
2014-12-31,2015-03-16,-77550000,180463000,-1.36,,68386000,23390000.0,92179000.0,-0.4297279774801483,,-68789000.0,,0.3789474850800441
2015-12-31,2016-03-16,-158656000,26076000,-2.72,,97882000,38875000.0,88944000.0,-6.084368768215984,,-50069000.0,,3.753719895689523
2016-12-31,2017-03-13,-26550000,-358000,-0.45,,81390000,-3452000.0,8705000.0,74.16201117318435,,-12157000.0,,
2017-12-31,2018-03-07,9651000,10289000,0.16,,69344000,6659000.0,1813000.0,0.9379920303236466,,4846000.0,,6.739624842064341
2018-09-30,2019-03-08,78605000,99295000,1.28,,63066000,,,0.7916309985397049,,,,0.6351377209325747
2018-12-31,2019-03-08,98232000,109827000,1.62,,56485000,37176000.0,14127000.0,0.8944248682018083,,23049000.0,,0.5143088675826527
2019-12-31,2020-03-10,2563000,109720000,0.04,,101817000,26472000.0,10348000.0,0.023359460444768502,,16124000.0,,0.927971199416697
2020-12-31,2021-03-09,-48181000,61458000,-0.83,,79774000,27450000.0,,-0.7839662859188389,,,,1.2980246672524325
2021-12-31,2022-03-11,81836000,144297000,1.37,,118793000,50117000.0,,0.5671358378899076,,,,0.8232534286922112
2022-12-31,2023-04-06,51890000,466105000,0.73,,389536000,128846000.0,,0.11132684695508523,,,,0.8357258557621137
2023-12-31,2024-03-15,60354000,478782000,0.56,,344434000,223597000.0,,0.12605737057784128,,,,0.7193963014482583
2024-12-31,2025-03-17,58490000,501583000,0.56,,453367000,113718000.0,,0.116610810174986,,,,0.9038723401710186
2025-12-31,2026-03-16,-41391000,443497000,-0.4,,469878000,212667000.0,,-0.09332870346360855,,,,1.059484055134533
