fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-15,15347000,151451000,0.61,,,30086000,1433000,0.10133310443641838,,28653000,,
2010-12-31,2012-03-15,17482000,162197000,0.73,,,20509000,2948000,0.10778251139046961,,17561000,,
2011-12-31,2012-03-15,6724000,155674000,0.31,,,22541000,2407000,0.04319282603389134,,20134000,,
2012-12-31,2013-03-13,7082000,170867000,0.34,,,24891000,3853000,0.04144744157736719,,21038000,,
2013-12-31,2014-03-12,1723000,133017000,0.09,,,20947000,7326000,0.012953231541833,,13621000,,
2014-12-31,2015-03-16,-16205000,73478000,-0.88,,,1779000,3604000,-0.2205422031084134,,-1825000,,
2015-12-31,2016-03-14,-4763000,76421000,-0.26,,,13696000,2996000,-0.0623258004998626,,10700000,,
2016-12-31,2017-03-16,-4882000,77601000,-0.27,,,4083000,3726000,-0.06291156041803585,,357000,,
2017-12-31,2018-03-19,-25412000,61143000,-1.37,,,-15541000,1868000,-0.41561585136483326,,-17409000,,
2018-12-31,2019-03-14,241000,303149000,0.01,,,-3230000,4534000,0.0007949886029642189,,-7764000,,
2019-12-31,2020-03-02,66887000,527164000,2.73,,,-71492000,6641000,0.1268808188723054,,-78133000,,
2020-12-31,2021-02-26,45450000,837558000,1.68,,202464000.0,-107860000,7751000,0.05426489866970407,,-115611000,,0.24173131890567578
2021-12-31,2022-03-01,-104375000,749519000,-4.59,,167181000.0,-162622000,3865000,-0.13925597616604782,,-166487000,,0.2230510500734471
2022-12-31,2023-03-01,-88722000,650955000,-4.36,,198372000.0,-26869000,214000,-0.1362951356084522,,-27083000,,0.3047399589833399
2023-12-31,2024-02-29,-28214000,606031000,-2.37,,209261000.0,-6692000,2086000,-0.04655537423003114,,-8778000,,0.34529751778374373
2024-12-31,2025-02-27,10057000,588428000,-1.19,,229488000.0,-18366000,2094000,0.017091300889828492,,-20460000,,0.39000183539872335
2025-12-31,2026-02-26,40044000,591595000,-0.34,,288816000.0,-25345000,2250000,0.06768819885225534,,-27595000,,0.4881988522553436
