fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-06-30,2011-08-22,478300000,1948400000,2.38,,0.24548347361938,
2011-06-30,2011-08-22,700800000,2629400000,3.48,,0.2665246824370579,
2012-06-30,2012-08-17,856900000,2733200000,2.16,,0.31351529342894774,
2013-06-30,2013-08-23,1019800000,3286900000,2.58,,0.3102619489488576,
2014-06-30,2014-08-20,1204100000,3854900000,3.06,,0.3123557031310799,
2015-06-30,2015-08-20,1088900000,3643200000,2.82,,0.29888559508124724,
2016-06-30,2016-08-24,1114600000,3571900000,2.96,,0.3120468098211036,
2017-06-30,2017-08-25,1249000000,4384000000,3.35,,0.28489963503649635,
2018-06-30,2018-08-24,1108000000,4688000000,2.95,,0.2363481228668942,
2019-06-30,2019-08-23,1785000000,4386000000,4.82,,0.4069767441860465,
2020-06-30,2020-08-28,684000000,3935000000,1.86,,0.1738246505717916,
