fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-03-26,-9649000,-39901000,,,,,8000.0,0.24182351319515802,,,,
2013-12-31,2015-03-26,-15725000,-55267000,,,2209000.0,,23000.0,0.2845278375884343,,,,
2014-12-31,2015-03-26,-23296000,103501000,,,4243000.0,,25000.0,-0.22507995091834862,,,,0.040994772997362344
2015-12-31,2016-03-10,-45087000,61724000,,,6250000.0,,565000.0,-0.7304614088523103,,,,0.10125720951331735
2016-12-31,2017-03-03,-37959000,26858000,,,2903000.0,,17000.0,-1.4133219152580236,,,,0.10808697594757614
2017-12-31,2018-04-02,-13116000,19452000,,,1440000.0,-14941000.0,,-0.6742751388032079,,,,0.07402837754472548
2018-12-31,2019-03-28,-14065000,14492000,,,2534000.0,-11893000.0,,-0.9705354678443279,,,,0.17485509246480818
2019-12-31,2020-03-17,-16011000,9465000,,,1466000.0,-13857000.0,,-1.6916006339144216,,,,0.15488642366613842
2020-12-31,2021-03-31,-22811000,190596000,,,6589000.0,-15212000.0,,-0.119682469726542,,,,0.03457050515225923
2021-12-31,2022-03-24,-34506000,163995000,-2.33,,6553000.0,-28913000.0,,-0.21040885392847342,,,,0.039958535321198814
2022-12-31,2023-03-30,-87966000,84183000,-6.16,,8610000.0,-28424000.0,,-1.044937814047967,,,,0.10227718185381847
2023-12-31,2024-03-28,-40326000,83419000,-1.64,,5647000.0,-39527000.0,,-0.48341504932928947,,,,0.06769441014636954
2024-12-31,2025-03-20,-36184000,118140000,-0.75,,59265000.0,-47271000.0,,-0.30628068393431523,,,,0.5016505840528187
2025-12-31,2026-03-19,-45617000,81085000,-0.52,,32230000.0,-62341000.0,,-0.5625824751803663,,,,0.3974841216007893
