fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-15,-9286000,-13806000,-709.35,,,,1597000,0.6726061132840794,,,,
2015-12-31,2017-03-15,4357000,-60398000,-1559.81,,224175000.0,,10142000,-0.07213815026987648,,,,
2016-12-31,2017-03-15,5313000,140862000,-39.47,,273867000.0,2120000.0,9223000,0.0377177663244878,,-7103000.0,,1.9442220045150573
2017-12-31,2018-03-01,33475000,193863000,0.68,,223381000.0,12378000.0,7544000,0.17267348591531131,,4834000.0,,1.1522621645182423
2018-12-31,2019-02-28,15525000,229331000,0.32,,206525000.0,55582000.0,8872000,0.06769690970693015,,46710000.0,,0.900554220755153
2019-03-31,2020-05-28,-17914000,215215000,-0.37,,216473000.0,8216000.0,3400000,-0.08323769254001812,,4816000.0,,1.0058453174732245
2020-03-31,2020-05-28,17884000,242171000,0.35,,210933000.0,44313000.0,9422000,0.07384864413988462,,34891000.0,,0.8710085022566699
2021-03-31,2021-05-27,6232000,269646000,0.12,,217747000.0,29475000.0,6474000,0.023111783597754093,,23001000.0,,0.8075291307862902
2022-03-31,2022-05-26,21770000,312429000,0.41,,182203000.0,19513000.0,4818000,0.06967983125766174,,14695000.0,,0.5831820989728866
2023-03-31,2023-05-25,61530000,411017000,1.11,,184584000.0,101883000.0,1723000,0.14970183715028818,,100160000.0,,0.4490909135145262
2024-03-31,2024-05-23,127663000,642572000,2.21,,486675000.0,71154000.0,8659000,0.19867501229434212,,62495000.0,,0.7573859427426032
2025-03-31,2025-05-29,112089000,760855000,1.92,,487320000.0,133840000.0,18520000,0.1473197915502954,,115320000.0,,0.6404899750938089
2026-03-31,2026-05-21,26318000,1130530000,0.44,,1263628000.0,212511000.0,22449000,0.023279346855014905,,190062000.0,,1.1177306219206922
