fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-12-31,2010-02-18,3345400000,22990400000,5.56,,,4344600000,322000000,0.14551290973623773,,4022600000,,
2008-12-31,2010-02-18,2490700000,21431700000,4.76,,26971500000.0,2535400000,345600000,0.11621569917458718,,2189800000,,1.2584862610058931
2009-12-31,2010-02-18,4745900000,24863300000,9.88,,27262100000.0,3038900000,378400000,0.19087973036563932,,2660500000,,1.0964795501803863
2010-12-31,2011-02-17,2887100000,23812600000,6.94,,26354300000.0,1416700000,451400000,0.121242535464418,,965300000,,1.1067376095008525
2011-12-31,2012-02-22,2646700000,23288200000,7.25,,28730600000.0,3374400000,519500000,0.1136498312450082,,2854900000,,1.2336977525098547
2012-12-31,2013-02-22,2655500000,23802700000,8.18,,35152700000.0,2744600000,544900000,0.11156297394833359,,2199700000,,1.4768366613871535
2013-12-31,2014-02-20,2489700000,24765200000,8.2,,34809300000.0,3052300000,646500000,0.10053219840744271,,2405800000,,1.4055731429586678
2014-12-31,2015-02-24,2569700000,24251300000,8.99,,37813700000.0,3369300000,714600000,0.1059613299080874,,2654700000,,1.5592442467001768
2015-12-31,2016-02-19,2560000000,23044100000,9.38,,38673700000.0,4116000000,638200000,0.11109134225246375,,3477800000,,1.678247360495745
2016-12-31,2017-02-22,2469800000,25100400000,9.21,,39982700000.0,3204500000,583600000,0.09839683829739765,,2620900000,,1.5929108699462957
2017-12-31,2018-02-21,3842800000,26502900000,14.35,,44037100000.0,4184800000,799500000,0.14499545332774905,,3385300000,,1.661595523508748
2018-12-31,2019-02-20,3750000000,28541000000,14.19,,43030000000.0,3827000000,1208000000,0.13138993027574367,,2619000000,,1.5076556532707333
2019-12-31,2020-02-19,4807000000,31728000000,18.47,,45725000000.0,6061000000,1077000000,0.15150655572365104,,4984000000,,1.441156076651538
2020-12-31,2021-02-18,4572000000,33199000000,17.98,,53416000000.0,10688000000,1021000000,0.13771499141540408,,9667000000,,1.6089641254254645
2021-12-31,2022-02-16,6104000000,36060000000,24.73,,61332000000.0,8364000000,1087000000,0.169273433166944,,7277000000,,1.7008319467554076
2022-12-31,2023-02-15,6025000000,36307000000,24.81,,66378000000.0,8399000000,1152000000,0.16594596083399896,,7247000000,,1.828242487674553
2023-12-31,2024-02-21,5987000000,39306000000,25.22,,69523000000.0,8061000000,1296000000,0.1523177123085534,,6765000000,,1.7687630387218236
2024-12-31,2025-02-20,5980000000,41315000000,25.68,,75463000000.0,5808000000,1256000000,0.1447416192666102,,4552000000,,1.8265278954374924
2025-12-31,2026-02-06,5662000000,43882000000,25.21,,77468000000.0,4290000000,1116000000,0.1290278474089604,,3174000000,,1.7653707670571077
