fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2018-02-16,2069000000,21386000000,,,59854000000,5211000000,5128000000,0.09674553446179744,,83000000,,2.7987468437295426
2017-12-31,2018-02-16,2859000000,58135000000,1.65,,92294000000,6584000000,8287000000,0.04917863593360282,,-1703000000,,1.5875806312892407
2018-12-31,2019-02-15,2882000000,69470000000,1.46,,93470000000,10502000000,6806000000,0.04148553332373686,,3696000000,,1.3454728659853175
2019-12-31,2020-02-14,5705000000,66043000000,2.63,,93862000000,9398000000,5492000000,0.08638311403176718,,3906000000,,1.4212255651620913
2020-12-31,2021-02-12,3363000000,61367000000,1.48,,95913000000,9781000000,5405000000,0.0548014405136311,,4376000000,,1.562940994345495
2021-12-31,2022-02-11,6189000000,60826000000,2.87,,105496000000,9256000000,7818000000,0.1017492519646204,,1438000000,,1.7343898990563247
2022-12-31,2023-02-10,3003000000,59887000000,1.28,,116210000000,11230000000,4647000000,0.05014443869287157,,6583000000,,1.9404879189139546
2023-12-31,2024-02-09,6191000000,61454000000,2.84,,115834000000,14201000000,4654000000,0.10074201842028184,,9547000000,,1.8848895108536465
2024-12-31,2025-02-14,5441000000,65900000000,2.34,,150080000000,12600000000,6711000000,0.08256449165402124,,5889000000,,2.277389984825493
2025-12-31,2026-02-13,7491000000,62333000000,3.22,,152551000000,12270000000,8973000000,0.1201771132465949,,3297000000,,2.447355333450981
