fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-21,-2627902,228090,,,,-197383,,-11.52133806830637,,,,
2011-12-31,2012-03-21,-247432,215443,,85564235.0,,-263711,,-1.1484801084277512,0.002517909498051376,,,
2012-12-31,2014-03-03,-253348,314262,,,,-175212,,-0.8061681017749521,,,,
2013-12-31,2014-03-03,-227823,136439,,,,-109420,,-1.669779168712758,,,,
2014-12-31,2015-03-27,-236585,-146,,,,-154564,,1620.445205479452,,,,
2015-12-31,2016-04-01,-174924,191405,,,,-116977,,-0.9138946213526292,,,,
2016-12-31,2017-03-31,-381915,301381,,,,-81862,,-1.2672165796782147,,,,
2017-12-31,2018-04-02,-830067,128194,,,249586.0,-235963,,-6.475084637346522,,,,1.9469397943741518
2018-12-31,2019-04-01,-1017131,-150183,,,2147456.0,-564894,,6.7726107482205045,,,,
2019-12-31,2020-03-30,-6654602,-4938655,,,15953235.0,-592330,-14460.0,1.3474522921726664,,-577870.0,,
2020-12-31,2021-03-31,-16835433,-18441038,,,29690639.0,-1723257,,0.9129330463935924,,,,
2021-12-31,2022-03-31,-18614962,9834153,-1.27,,40255498.0,3170282,,-1.892889199507065,,,,4.093438245266268
2022-12-31,2023-03-31,7084130,23235881,0.3,,48309194.0,18055783,,0.3048789068940403,,,,2.0790773545448955
2023-12-31,2024-03-28,-12469605,34956460,-0.55,,57659156.0,-9887500,,-0.3567181859948061,,,,1.6494563808806726
2024-12-31,2025-03-27,-16197989,62765184,-0.54,,61103287.0,6157003,,-0.2580728354114281,,,,0.9735219927021962
2025-12-31,2026-03-13,-72074000,-4606000,-2.12,,70479000.0,-3946000,,15.647850629613547,,,,
