fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-30,-400000,9461000,,,3664000,2831000.0,1323000,-0.04227882887644012,,1508000.0,,0.3872740725081915
2011-12-31,2012-03-30,-3419000,6350000,,,5297000,574000.0,1594000,-0.5384251968503937,,-1020000.0,,0.8341732283464567
2012-12-31,2013-03-29,-995000,7894000,,,4762000,2156000.0,1226000,-0.12604509754243728,,930000.0,,0.6032429693438054
2013-12-31,2014-03-31,-1053000,9202000,,,6255000,,861000,-0.1144316452945012,,,,0.6797435340143447
2014-12-31,2015-03-27,-5030000,10924000,,,11344000,,835000,-0.4604540461369462,,,,1.0384474551446357
2015-12-31,2016-03-15,-7226000,3848000,,,12560000,-4180000.0,991000,-1.8778586278586278,,-5171000.0,,3.264033264033264
2016-12-31,2017-03-09,-2923000,4068000,,,12627000,23000.0,427000,-0.7185349065880039,,-404000.0,,3.103982300884956
2017-12-31,2018-03-09,-1077000,5536000,,,11034000,549000.0,728000,-0.19454479768786126,,-179000.0,,1.993135838150289
2018-12-31,2019-03-22,-259000,6917000,,,7947000,1365000.0,648000,-0.0374439786034408,,717000.0,,1.148908486338008
2019-12-31,2020-03-19,-2047000,5091000,,,9034000,2744000.0,128000,-0.40208210567668434,,2616000.0,,1.7745040267138086
2020-12-31,2021-03-11,-4415000,851000,-1.51,,2894000,-3894000.0,39000,-5.188014101057579,,-3933000.0,,3.400705052878966
2021-12-31,2022-04-15,-122306000,6502000,-2.82,,25927000,-23488000.0,154000,-18.810519840049217,,-23642000.0,,3.9875422946785606
2022-12-31,2023-03-20,-24579000,12107000,-8.06,,10172000,-20976000.0,297000,-2.030147848352193,,-21273000.0,,0.8401751053109772
2023-12-31,2024-03-14,-21668000,2233000,-4.08,,46899000,-20408000.0,19000,-9.703537841468876,,-20427000.0,,21.00268696820421
2024-12-31,2025-03-12,-44539000,1701000,-3.26,,3568000,-15836000.0,369000,-26.184009406231628,,-16205000.0,,2.0975896531452087
2025-12-31,2026-03-13,-14084000,2401000,-2.24,,3433000,-7017000.0,37000,-5.865889212827988,,-7054000.0,,1.4298209079550188
