fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-02-24,394107000,3811176000,2.19,176504390.0,0.10340823934659538,21.592528095193554
2011-12-31,2012-02-24,400513000,4012670000,2.22,,0.09981209518849046,
2012-12-31,2013-02-28,533077000,9237050000,1.89,,0.0577107409833226,
2013-12-31,2014-02-25,793689000,9611528000,2.49,,0.08257677655415455,
2014-12-31,2015-02-25,827065000,9976815000,2.58,,0.08289870063742788,
2015-12-31,2016-02-26,886004000,10352215000,2.76,,0.08558593499072421,
2016-12-31,2017-02-23,949821000,10711734000,2.96,,0.0886710779039136,
2017-12-31,2018-02-26,995515000,11086242000,3.11,,0.08979733619381572,
2018-12-31,2019-02-26,1040519000,11486817000,3.25,,0.09058375353241895,
2019-12-31,2020-02-27,916572000,12629994000,2.81,,0.07257105585323319,
2020-12-31,2021-02-17,1212686000,14063566000,3.55,,0.08622891235409284,
2021-12-31,2022-02-17,1228046000,14599844000,3.54,,0.08411363847449328,
2022-12-31,2023-02-15,1412394000,15473158000,4.05,,0.09128026741535245,
2023-12-31,2024-02-14,-434700000,14173892000,-1.26,,-0.030669063938119467,
