fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-09-30,2010-11-29,46711000,468237000,1.78,,0.0997593099221121,
2009-09-30,2010-11-29,49408000,517340000,1.86,,0.0955039239185062,
2010-09-30,2010-11-29,44846000,555982000,1.68,,0.08066088470490052,
2011-09-30,2011-11-29,52501000,600710000,1.95,,0.08739824540959865,
2012-09-30,2012-11-29,46879000,631313000,1.73,26649992.0,0.0742563514453211,23.689050263129534
2013-09-30,2013-11-27,-25603000,601714000,-0.96,,-0.04255011517099486,
2014-09-30,2014-11-26,410000,580171000,0.02,,0.0007066882005477695,
2015-09-30,2015-11-30,42512000,584182000,1.62,,0.07277184165208787,
2016-09-30,2016-11-29,45882000,615109000,1.77,,0.07459165773870972,
2017-09-30,2017-11-29,53703000,671918000,2.07,,0.07992493131602368,
2018-09-30,2018-11-29,92136000,759410000,3.54,,0.12132576605522709,
2019-09-30,2019-11-29,81039000,826222000,3.1,,0.09808380798381065,
2020-09-30,2020-11-30,101980000,961595000,3.9,,0.10605296408571176,
2021-09-30,2021-11-29,63496000,1019696000,2.42,,0.06226953915676829,
2022-09-30,2022-11-29,82320000,1048157000,3.16,,0.07853785263085587,
2023-09-30,2023-11-29,92545000,1131142000,3.58,,0.08181554570513694,
2024-09-30,2024-11-29,101881000,1237350000,3.94,,0.08233806117913282,
2025-09-30,2025-12-01,299223000,1540871000,11.55,,0.1941908180503105,
