fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-03-31,2011-05-26,41764000,434112000,0.95,,,79385000.0,16078000,0.09620558749815716,,63307000.0,,
2010-03-31,2011-05-26,28950000,451647000,0.66,,562129000.0,64566000.0,13779000,0.06409873197430736,,50787000.0,,1.2446202454571822
2011-03-31,2011-05-26,14849000,459564000,0.34,,523246000.0,44083000.0,17224000,0.03231106004821962,,26859000.0,,1.138570471142213
2012-03-31,2012-05-25,18732000,472511000,0.42,,512634000.0,60852000.0,26099000,0.03964352152648298,,34753000.0,,1.0849144252726393
2013-03-31,2013-05-24,57744000,696170000,1.22,,780063000.0,124407000.0,53011000,0.08294525762385624,,71396000.0,,1.1205064854848672
2014-03-31,2014-05-23,124243000,831499000,2.49,,680030000.0,,59490000,0.14942050441431678,,,,0.817836221089863
2015-03-31,2015-05-22,186853000,1010593000,3.71,,871998000.0,,111573000,0.18489441347802726,,,,0.8628577478767416
2016-03-31,2016-05-25,152592000,1040531000,3.05,,843104000.0,,89563000,0.14664820173546006,,,,0.8102632213744713
2017-03-31,2017-05-24,198219000,1203450000,4.1,,1043674000.0,331598000.0,56938000,0.16470896173501184,,274660000.0,,0.8672350326145665
2018-03-31,2018-05-23,256632000,1417690000,5.28,,950313000.0,337665000.0,131957000,0.18102123877575493,,205708000.0,,0.6703249652603884
2019-03-31,2019-05-23,68860000,1209487000,1.47,,959676000.0,350284000.0,168873000,0.05693322871597628,,181411000.0,,0.7934570607207849
2020-03-31,2020-05-22,70894000,967843000,1.68,,1993177000.0,399301000.0,132119000,0.07324948364559128,,267182000.0,,2.059401163205189
2021-03-31,2021-05-21,339444000,1358990000,8.12,,1479691000.0,643073000.0,53933000,0.24977667238169524,,589140000.0,,1.088816694751249
2022-03-31,2022-05-20,374247000,1133556000,9.14,,1446096000.0,517171000.0,74121000,0.330153075807459,,443050000.0,,1.2757164180684502
2023-03-31,2023-05-19,461540000,1185694000,12.46,,1595308000.0,541726000.0,110143000,0.3892572619917112,,431583000.0,,1.3454635007008553
2024-03-31,2024-05-22,477639000,1308535000,13.61,,1638484000.0,563938000.0,120305000,0.3650181309632528,,443633000.0,,1.2521514518144337
2025-03-31,2025-05-20,463416000,1456700000,13.77,,1807888000.0,548548000.0,195281000,0.3181272739754239,,353267000.0,,1.2410846433720053
2026-03-31,2026-05-19,423809000,1474828000,13.16,,2367416000.0,614166000.0,416739000,0.28736164488333554,,197427000.0,,1.6052149810011744
