fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-01-01,2012-02-27,22127000,150071000,1.47,,,26816000.0,2017000,0.14744354338946233,,24799000.0,,
2010-12-31,2012-02-27,27521000,183800000,1.83,,75092000.0,36052000.0,2475000,0.14973340587595213,,33577000.0,,0.40855277475516866
2011-12-30,2012-02-27,32695000,186715000,2.22,,82073000.0,46596000.0,3835000,0.175106445652465,,42761000.0,,0.43956297030233243
2012-12-28,2013-02-28,37225000,216429000,2.6,,98988000.0,48505000.0,4942000,0.17199635908311733,,43563000.0,,0.4573693913477399
2014-01-03,2014-03-03,38640000,235059000,2.76,,109107000.0,,6226000,0.16438426097277706,,,,0.46416857044401616
2015-01-02,2015-03-02,40701000,244288000,2.94,,121011000.0,,4947000,0.16661072177102437,,,,0.4953620317002882
2016-01-01,2016-02-26,43599000,262804000,1.6,,124703000.0,60489000.0,5379000,0.1658993013804965,,55110000.0,,0.474509520403038
2016-12-30,2017-02-24,47480000,273346000,1.75,,130398000.0,66946000.0,14393000,0.17369926759491633,,52553000.0,,0.4770437467531992
2017-12-29,2018-02-23,41305000,289088000,1.53,,150501000.0,67838000.0,4725000,0.14288036860748285,,63113000.0,,0.5206061822005756
2018-12-28,2019-02-22,72254000,313909000,1.33,,155027000.0,91188000.0,16298000,0.23017498701853084,,74890000.0,,0.49385968545024195
2020-01-03,2020-02-28,82460000,350251000,1.53,,213160000.0,108059000.0,23038000,0.23543116222366245,,85021000.0,,0.6085921239339788
2021-01-01,2021-02-26,82552000,361498000,1.55,,218598000.0,103312000.0,4987000,0.22836087613209477,,98325000.0,,0.6047004409429652
2021-12-31,2022-02-25,101202000,417065000,1.9,,266674000.0,124568000.0,6826000,0.24265282390035126,,117742000.0,,0.6394063275508614
2022-12-30,2023-02-24,102330000,320752000,1.96,,265910000.0,93807000.0,12043000,0.3190315259141019,,81764000.0,,0.8290205517034968
2023-12-29,2024-02-23,100339000,356085000,1.94,,290692000.0,127352000.0,16356000,0.2817838437451732,,110996000.0,,0.8163556454217392
2025-01-03,2025-02-28,109002000,421068000,2.11,,356202000.0,144537000.0,6939000,0.25887030123400495,,137598000.0,,0.8459488728661404
2026-01-02,2026-02-27,106009000,390341000,2.07,,387178000.0,131730000.0,9390000,0.2715804898793619,,122340000.0,,0.9918968286703165
