fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-09,941000,55335000,0.37,,1051722000,11814000,,0.017005511882172225,,,,19.006451612903227
2011-12-31,2012-03-09,8425000,64214000,3.23,,1112951000,17577000,,0.1312019185847323,,,,17.331905814931325
2012-12-31,2013-03-08,8926000,99539000,3.29,,1126569000,15998000,,0.08967339434794402,,,,11.317865359306403
2013-12-31,2014-03-07,13746000,109275000,3.49,,1159380000,15902000,,0.12579272477693892,,,,10.60974605353466
2014-12-31,2015-03-06,14139000,137748000,3.51,,1491639000,11874000,,0.10264395853297326,,,,10.828752504573568
2015-12-31,2016-03-11,16514000,150832000,1.9,,1632060000,23220000,,0.1094860507054206,,,,10.820382942611648
2016-12-31,2017-03-10,14909000,161650000,1.71,,1619049000,26162000,,0.09223012681719765,,,,10.01576863594185
2017-12-31,2018-03-09,11905000,169278000,1.36,,1624788000,22408000,,0.07032809933954796,,,,9.598341190231453
2018-12-31,2019-02-28,16303000,180707000,1.86,,1785750000,25694000,,0.09021786649106012,,,,9.882018958867116
2019-12-31,2020-02-27,23324000,194156000,2.68,,1902623000,28985000,,0.12013020457776222,,,,9.799455077360474
2020-12-31,2021-02-24,16978000,206162000,1.97,,2361675000,26635000,,0.0823527129150862,,,,11.455433106004016
2021-12-31,2022-02-23,35755000,232422000,4.17,,2420483000,35992000,,0.15383655591983547,,,,10.414173357083236
2022-12-31,2023-02-22,40858000,260640000,4.75,,2715971000,38645000,3223000.0,0.15676028238182935,,35422000.0,,10.420392111724984
2023-12-31,2024-02-28,37027000,289588000,4.33,,3218258000,52292000,2884000.0,0.12786096108954792,,49408000.0,,11.11322982996533
2024-12-31,2025-02-26,44245000,328589000,5.2,,3524626000,57491000,223000.0,0.13465149472441257,,57268000.0,,10.726548971511523
2025-12-31,2026-02-25,50319000,371585000,5.94,,3710302000,61696000,595000.0,0.13541719929491233,,61101000.0,,9.985069365017425
