fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-08-31,2012-11-14,4807000,79316000,0.27,,72111000,15643000.0,2326000,0.06060567855161632,,13317000.0,,0.9091608250542135
2012-08-31,2012-11-14,7841000,90555000,0.43,,73525000,15562000.0,2279000,0.08658826127767655,,13283000.0,,0.8119374965490586
2013-08-31,2013-11-14,14319000,106506000,0.8,,82899000,15528000.0,2174000,0.13444312996450905,,13354000.0,,0.7783505154639175
2014-08-31,2014-11-14,18067000,126714000,1.07,,78472000,18124000.0,3470000,0.14258093028394653,,14654000.0,,0.6192843726817874
2015-08-31,2015-11-13,11116000,125506000,0.66,,75139000,,2446000,0.08856947078227335,,,,0.5986885089159084
2016-08-31,2016-11-14,7016000,93715000,0.47,,97156000,32665000.0,3993000,0.07486528303900122,,28672000.0,,1.0367177079442993
2017-08-31,2017-11-14,-7172000,85065000,-0.52,,125666000,17357000.0,7187000,-0.08431199670839946,,10170000.0,,1.4772938341268442
2018-08-31,2018-11-14,-5887000,80500000,,,133375000,16861000.0,6528000,-0.0731304347826087,,10333000.0,,1.656832298136646
2019-08-31,2019-11-14,-1023000,82014000,-0.07,,142899000,30452000.0,4153000,-0.012473480137537494,,26299000.0,,1.7423732533469896
2020-08-31,2020-11-16,-9435000,59453000,-0.68,,145984000,27563000.0,4183000,-0.15869678569626428,,23380000.0,,2.4554522059441912
2021-08-31,2021-11-12,13623000,79863000,0.96,,169791000,46177000.0,1602000,0.17057961759513166,,44575000.0,,2.1260283235040007
2022-08-31,2022-11-14,18430000,82814000,1.27,,176341000,52254000.0,3177000,0.2225469123578139,,49077000.0,,2.1293621851377784
2023-08-31,2023-11-13,17781000,78654000,1.24,,167265000,35738000.0,4515000,0.2260660614844763,,31223000.0,,2.1265924174231445
2024-08-31,2024-11-12,23402000,83135000,1.74,,178404000,60257000.0,3694000,0.2814939556143622,,56563000.0,,2.145955373789619
2025-08-31,2025-11-12,3068000,66911000,0.24,,176001000,28977000.0,8253000,0.04585195259374393,,20724000.0,,2.630374676809493
