fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-25,120906000,1127557000,2.26,,0.10722828202920119,
2009-12-31,2011-02-25,143026000,1104214000,2.7,,0.12952742856004362,
2010-12-31,2011-02-25,71890000,1167319000,1.51,,0.061585564871299105,
2011-12-31,2012-02-24,103903000,1106202000,2.39,,0.09392769132581572,
2012-12-31,2013-02-28,-36986000,1068232000,-0.92,,-0.034623564918482126,
2013-12-31,2014-02-24,-10594000,1042259000,-0.27,,-0.010164460081419302,
2014-12-31,2015-02-24,58807000,1102746000,1.44,,0.053327783551243894,
2015-12-31,2016-02-25,66053000,1147603000,1.58,,0.05755736086434072,
2016-12-31,2017-02-28,85520000,1207358000,2.05,,0.07083234632975471,
2017-12-31,2018-02-22,107962000,1191971000,2.75,,0.09057435122163207,
2018-12-31,2019-02-27,150611000,1348825000,3.93,,0.11166089003391841,
2019-12-31,2020-02-25,216726000,1489142000,5.69,,0.14553749743140681,
2020-12-31,2021-02-25,210682000,1400181000,5.67,,0.15046768953442446,
2021-12-31,2022-02-24,234966000,1583321000,6.65,,0.14840073491098774,
2022-12-31,2023-02-23,235514000,1681721000,6.58,,0.14004344359141618,
2023-12-31,2024-02-22,274892000,1981420000,7.71,,0.13873484672608533,
2024-12-31,2025-02-20,280088000,2258290000,7.81,,0.12402658648800641,
2025-12-31,2026-02-26,270871000,1733731000,8.24,,0.1562358866513894,
