fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-24,221337000,649958000,4.78,,0.3405404656916293,
2010-12-31,2012-02-24,59251000,697394000,0.99,,0.08496058182318747,
2011-12-31,2012-02-24,66739000,712221000,1.14,,0.09370546501717866,
2012-12-31,2013-02-25,67303000,710425000,1.14,,0.0947362494281592,
2013-12-31,2014-02-25,48349000,682161000,0.83,,0.0708762300981733,
2014-12-31,2015-02-24,65000000,784077000,1.09,,0.08290002129892855,
2015-12-31,2016-02-23,75063000,809376000,1.21,,0.09274181591744751,
2016-12-31,2017-02-24,88526000,865224000,1.43,,0.10231570090519912,
2017-12-31,2018-02-26,96787000,930664000,1.56,,0.10399779082461555,
2018-12-31,2019-02-22,172595000,2078249000,1.93,,0.0830482776606653,
2019-12-31,2020-02-21,198075000,2247705000,2.0,,0.0881232190167304,
2020-12-31,2021-02-19,155810000,2282070000,1.59,,0.06827573212039946,
2021-12-31,2022-02-18,205160000,2258942000,2.14,,0.09082127827983189,
2022-12-31,2023-02-24,217612000,2041373000,2.3,,0.10660080249910232,
2023-12-31,2024-02-22,255863000,2267974000,2.69,,0.1128156671990067,
2024-12-31,2025-02-20,228830000,2438041000,2.4,,0.09385814266454091,
2025-12-31,2026-02-19,255605000,2769216000,2.66,,0.09230229783447734,
