fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2015-03-10,-31314000,-2968000,,,59246000,-20959000,554000,10.550539083557952,,-21513000,,
2014-12-31,2015-03-10,-37786000,41753000,,,75181000,-24279000,1025000,-0.9049888630757071,,-25304000,,1.8006131295954781
2015-12-31,2016-03-03,-25838000,26280000,-0.07,,72953000,-12939000,1116000,-0.9831811263318113,,-14055000,,2.7759893455098936
2016-12-31,2017-02-28,-11860000,30328000,0.01,,74911000,6838000,1131000,-0.3910577683988394,,5707000,,2.470027697177526
2017-12-31,2018-03-01,-8969000,46838000,-0.01,,81358000,11106000,2650000,-0.19148981596139886,,8456000,,1.7370084119731841
2018-12-31,2019-02-25,-221000,142748000,0.06,,251918000,38622000,9261000,-0.0015481828116681144,,29361000,,1.7647742875556927
2019-12-31,2020-02-27,-4552000,196458000,0.01,,285922000,51221000,19228000,-0.02317034684258213,,31993000,,1.4553848659764428
2020-12-31,2021-03-01,-42130000,279164000,0.11,,784578000,67302000,30422000,-0.15091487441074064,,36880000,,2.810455502858535
2021-12-31,2022-02-28,-53000000,211132000,-0.79,,981810000,28485000,42216000,-0.2510277930394256,,-13731000,,4.6502188204535555
2022-12-31,2023-02-24,-94650000,309965000,-1.35,,934520000,88865000,52272000,-0.30535705644185634,,36593000,,3.0149210394721986
2023-12-31,2024-02-22,-81764000,538085000,-1.13,,956483000,128838000,31234000,-0.15195368761441036,,97604000,,1.777568599756544
2024-12-31,2025-02-21,-12795000,622192000,-0.17,,1429022000,143168000,42388000,-0.02056439169902538,,100780000,,2.2967540566256077
2025-12-31,2026-02-20,39416000,785817000,0.45,,1004253000,226207000,24963000,0.05015926099842584,,201244000,,1.2779731158781242
