fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-17,-4283000,1684000,,,,-4397000,731000,-2.5433491686460807,,-5128000,,
2015-12-31,2017-03-17,-8314000,5146000,-0.61,,686000.0,-969000,2100000,-1.6156237854644384,,-3069000,,0.1333074232413525
2016-12-31,2017-03-17,-5347000,54479000,0.05,,3561000.0,4405000,3788000,-0.09814791020393179,,617000,,0.06536463591475615
2017-12-31,2018-03-20,-2510000,54178000,-0.09,,3006000.0,1331000,2895000,-0.04632876813466721,,-1564000,,0.055483775702314594
2018-12-31,2019-03-22,-5607000,51152000,-0.11,,2752000.0,-675000,2322000,-0.10961448232718174,,-2997000,,0.053800437910541135
2019-12-31,2020-03-13,-411000,82777000,,,5979000.0,5517000,1182000,-0.004965147323531899,,4335000,,0.0722302088744458
2020-12-31,2021-03-08,214310000,569387000,,,131074000.0,140628000,35130000,0.3763872375027881,,105498000,,0.2302019540312652
2021-12-31,2022-02-28,507364000,1158749000,,,112840000.0,538577000,23812000,0.4378549625501295,,514765000,,0.09738088231359854
2022-12-31,2023-02-28,143403000,1266685000,,,116178000.0,253520000,18775000,0.11321125615287148,,234745000,,0.09171814618472628
2023-12-31,2024-02-28,-167825000,1136101000,,,102042000.0,27003000,22207000,-0.1477201410790062,,4796000,,0.08981771867113927
2024-12-31,2025-02-28,-42708000,1133228000,,,90805000.0,21060000,40315000,-0.03768703208886473,,-19255000,,0.08012950615410139
2025-12-31,2026-02-27,-60513000,1111989000,,,106810000.0,-101638000,22574000,-0.05441870378214173,,-124212000,,0.09605310843902233
