fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-01-02,2011-02-23,130297000,715945000,1.41,,,236009000.0,72093000,0.18199303019086663,,163916000.0,,
2011-01-01,2011-02-23,137047000,795790000,1.49,,,306050000.0,98404000,0.17221503160381507,,207646000.0,,
2012-12-29,2013-02-20,136121000,858620000,0.98,,,216880000.0,67259000,0.15853462532901633,,149621000.0,,
2013-12-28,2014-02-19,230894000,1076189000,1.09,,,,99181000,0.21454781641514642,,,,
2015-01-03,2015-02-25,175739000,1123044000,0.82,,,,83778000,0.15648451886123785,,,,
2016-01-02,2016-02-24,189191000,1243082000,0.15,,,335674000.0,90773000,0.15219510860908614,,244901000.0,,
2016-12-31,2017-02-23,163776000,1210080000,0.78,,,356562000.0,101727000,0.1353431178103927,,254835000.0,,
2017-12-30,2018-02-21,150120000,1250677000,0.71,,,297389000.0,75232000,0.12003099121515787,,222157000.0,,
2018-12-29,2019-02-20,157160000,1258267000,0.74,,,295893000.0,99422000,0.12490194847357516,,196471000.0,,
2019-12-28,2020-02-19,164538000,1263430000,0.78,,,366952000.0,103685000,0.13023119602985522,,263267000.0,,
2021-01-02,2021-02-24,152318000,1372994000,0.72,,,454464000.0,97929000,0.11093857657061866,,356535000.0,,
2022-01-01,2022-02-23,206187000,1411274000,0.97,,,344610000.0,135964000,0.14609990689263744,,208646000.0,,
2022-12-31,2023-02-22,228394000,1443290000,1.07,,,360889000.0,169071000,0.15824539766782836,,191818000.0,,
2023-12-30,2024-02-21,123416000,1351782000,0.58,,,349353000.0,129078000,0.09129874491597018,,220275000.0,,
2024-12-28,2025-02-18,248116000,1410114000,1.17,,,412664000.0,132088000,0.17595456821221547,,280576000.0,,
2026-01-03,2026-02-25,83825000,1303487000,0.4,,,446203000.0,127113000,0.06430827465099384,,319090000.0,,
