fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2010-02-22,304600000,902900000,4.02,,0.33735740392069996,
2009-12-31,2010-02-22,228500000,1076400000,3.12,72518880.0,0.21228167967298403,14.843031221662551
2010-12-31,2011-02-22,172500000,1131500000,2.36,71485844.0,0.1524524966858153,15.828308608904443
2011-12-31,2012-02-21,365900000,1240600000,5.1,69837158.0,0.2949379332581009,17.76418221371494
2012-12-31,2013-02-19,416200000,1480300000,3.0,137670378.0,0.28115922448152403,10.752494628873613
2013-12-31,2014-02-18,293900000,1519800000,2.16,132885689.0,0.19338070798789314,11.43689746756703
2014-12-31,2015-02-27,307500000,1530500000,2.29,133317671.0,0.20091473374714144,11.480098538475069
2015-12-31,2016-02-26,489000000,1865700000,3.66,133655777.0,0.2621000160797556,13.958992584360944
2016-12-31,2017-02-28,209100000,1957700000,1.56,133690106.0,0.10680901057363232,14.643566817128562
2017-12-31,2018-02-28,535800000,2681800000,3.99,134330556.0,0.19979118502498322,19.96418447043426
2018-12-31,2019-02-28,502100000,3121100000,3.69,132281614.0,0.16087276921598154,23.594359832954563
2019-12-31,2020-02-28,477400000,2532300000,3.62,129124294.0,0.18852426647711568,19.61133665520758
2020-12-31,2021-02-25,551500000,2961800000,4.22,129353583.0,0.18620433520156662,22.896930500951026
2021-12-31,2022-02-25,736500000,3032500000,5.7,125699479.0,0.24286892003297608,24.125000549922724
2022-12-31,2023-02-24,736500000,3377900000,5.81,125110804.0,0.2180348737381213,26.99926698576727
2023-12-31,2024-02-27,1321500000,4410900000,10.53,124760760.0,0.2995987213493845,35.35486638587325
2024-12-31,2025-02-28,341100000,4487500000,2.72,124840902.0,0.07601114206128133,35.94575117696602
2025-12-31,2026-02-27,-2238900000,2071500000,-17.88,124934056.0,-1.0808110065170167,16.580747206350203
