fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-07,5125000,509564000,0.14,,275045000,13551000,,0.010057617885093923,,,,0.5397653680401284
2011-12-31,2012-03-07,7154000,509526000,0.2,,283645000,34992000,,0.014040500386633853,,,,0.5566840553769582
2012-12-31,2013-03-14,12942000,529488000,0.36,,384887000,-26022000,,0.024442480282839272,,,,0.7269041035868613
2013-12-31,2014-03-11,29321000,709845000,0.8,,456755000,88777000,,0.041306200649437554,,,,0.6434573744972494
2014-12-31,2015-03-06,16583000,707202000,0.38,,548457000,107082000,,0.023448745902867923,,,,0.7755308949918128
2015-12-31,2016-03-04,-213047000,501600000,-6.22,,476398000,35126000,,-0.4247348484848485,,,,0.9497567783094099
2016-12-31,2017-03-03,58648000,560651000,1.38,,171090000,66877000,,0.10460696583079312,,,,0.305163105033256
2017-12-31,2018-02-28,50254000,604212000,1.19,,156280000,-16215000,,0.08317279365520712,,,,0.2586509370883068
2018-09-30,2019-11-21,68800000,673300000,1.64,,218600000,-283000000,100000.0,0.10218327639982178,,-283100000.0,,0.32466953809594534
2019-09-30,2019-11-21,33000000,808300000,0.79,,646800000,-391200000,900000.0,0.04082642583199307,,-392100000.0,,0.8001979463070642
2020-09-30,2020-11-19,60800000,870900000,1.26,,868100000,168400000,600000.0,0.06981283729475256,,167800000.0,,0.9967849351245838
2021-09-30,2021-11-18,110200000,1014900000,2.25,,1085800000,-303100000,1600000.0,0.10858212631786383,,-304700000.0,,1.0698590994186619
2022-09-30,2022-11-17,178800000,1198300000,3.59,,1143700000,108700000,3500000.0,0.14921138279228907,,105200000.0,,0.9544354502211466
2023-09-30,2023-11-17,166900000,1368900000,3.33,,1100800000,364100000,1300000.0,0.1219227116663014,,362800000.0,,0.8041493169698298
2024-09-30,2024-11-19,203400000,1594100000,4.0,,1245000000,-158400000,2200000.0,0.12759550843736278,,-160600000.0,,0.7810049557744182
2025-09-30,2025-11-19,167900000,1767900000,3.29,,1368100000,-197700000,2200000.0,0.09497143503591832,,-199900000.0,,0.7738559873296
