fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2014-03-11,13538000,67295000,0.42,,,21038000,3067000,0.20117393565643807,,17971000,,
2012-12-31,2014-03-11,14210000,29584000,0.44,,112536000.0,17367000,4928000,0.48032720389399675,,12439000,,3.803948080043267
2013-12-31,2014-03-11,24102000,92292000,0.68,,65437000.0,22619000,3932000,0.26114939539721754,,18687000,,0.7090213669657175
2014-12-31,2015-03-02,27686000,128806000,0.73,,129631000.0,32905000,4625000,0.21494340325761221,,28280000,,1.0064049811344191
2015-12-31,2016-02-29,24954000,152260000,0.66,,126237000.0,30022000,10894000,0.16389071325364507,,19128000,,0.829088401418626
2016-12-30,2017-03-01,35675000,184937000,0.94,,150663000.0,38845000,12024000,0.19290352930998123,,26821000,,0.8146720234458221
2017-12-29,2018-02-27,43128000,234835000,1.11,,180496000.0,48172000,16864000,0.1836523516511593,,31308000,,0.7686077458641174
2018-12-28,2019-02-26,84040000,321205000,2.16,,149767000.0,65392000,30203000,0.2616397627683255,,35189000,,0.46626609174826045
2020-01-03,2020-03-03,93033000,422200000,2.38,,171397000.0,74830000,53526000,0.22035291331122692,,21304000,,0.4059616295594505
2021-01-01,2021-02-25,90674000,719171000,2.22,,567390000.0,82715000,56744000,0.12608127969564958,,25971000,,0.7889500549938749
2021-12-31,2022-02-24,163818000,894082000,3.87,,621647000.0,65290000,54846000,0.18322480488366838,,10444000,,0.6952908122521201
2022-12-30,2023-02-23,205278000,1121386000,4.84,,496950000.0,187094000,43701000,0.1830573950450603,,143393000,,0.44315695041671643
2023-12-29,2024-02-23,120846000,1221761000,2.85,,1020537000.0,178743000,46852000,0.09891132553748237,,131891000,,0.8353000300386082
