fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-14,7612000,82639000,1.96,,869250000,12358000.0,2122000.0,0.09211147279129708,,10236000.0,,10.518641319473856
2011-12-31,2012-03-14,6569000,87182000,1.66,,903066000,15088000.0,742000.0,0.07534812231882729,,14346000.0,,10.358399669656581
2012-12-31,2013-03-12,5365000,91634000,1.32,,935729000,10560000.0,2297000.0,0.05854813715433136,,8263000.0,,10.211591767247965
2013-12-31,2014-03-10,6232000,95388000,1.51,,889199000,,527000.0,0.06533316559734977,,,,9.321916802952153
2014-12-31,2015-03-16,8402000,103521000,2.0,,897927000,,345000.0,0.08116227625312739,,,,8.673863274118295
2015-12-31,2016-03-09,10204000,111376000,2.4,,923919000,13290000.0,1041000.0,0.09161758368050567,,12249000.0,,8.295494541014222
2016-12-31,2017-03-10,8087000,116493000,1.88,,1010950000,14856000.0,579000.0,0.06942048020052707,,14277000.0,,8.678203840574112
2017-12-31,2018-03-12,2176000,115144000,0.5,,1064669000,16252000.0,,0.018898075453345375,,,,9.246413186965887
2018-12-31,2019-03-18,6125000,118396000,1.39,,1091191000,9302000.0,,0.05173316666103585,,,,9.216451569309774
2019-12-31,2020-03-13,16115000,127528000,3.67,,1141629000,18966000.0,,0.12636440624803966,,,,8.951987014616398
2020-12-31,2021-03-11,12800000,145176000,2.93,,1389862000,6435000.0,,0.0881688433349865,,,,9.573634760566485
2021-12-31,2022-03-10,19616000,157065000,4.42,,1616741000,26349000.0,,0.12489096870722312,,,,10.293451755642568
2022-12-31,2023-03-10,14938000,114197000,3.36,,1585382000,25244000.0,,0.13080904051770187,,,,13.882869077121116
2023-12-31,2024-03-11,13598000,132136000,3.1,,1703903000,26565000.0,,0.1029091239329176,,,,12.895070230671429
2024-12-31,2025-03-14,11099000,144716000,2.51,,2053125000,21755000.0,,0.07669504408634843,,,,14.187270239641782
2025-12-31,2026-03-13,21226000,175242000,4.74,,2063776000,25442000.0,,0.12112393147761381,,,,11.77672019264788
