fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-03-29,-190080,11282384,,,-0.01684750315181614,
2011-12-31,2012-03-29,182990,10612975,0.01,,0.01724210223806237,
2012-12-31,2013-04-01,-1084447,9768668,-0.08,,-0.11101278086224242,
2013-12-31,2014-03-31,1821634,11473314,,,0.15877138898142246,
2014-12-31,2015-03-31,403345,11371589,,,0.03546953728278431,
2015-12-31,2016-03-29,1504696,12028151,,,0.1250978641688153,
2016-12-31,2017-03-31,1793334,12463993,0.15,,0.1438811783671573,
2017-12-31,2018-04-02,1754741,14921961,0.15,,0.11759453063843285,
2018-12-31,2019-04-02,2490268,17059301,,,0.14597714173634666,
2019-12-31,2020-03-30,1912392,17911227,,,0.10677057467922214,
2020-12-31,2021-03-31,2977050,21206528,,,0.1403836592204061,
2021-12-31,2022-03-29,3449162,25102633,0.28,,0.13740239918258773,
2022-12-31,2023-03-31,7021604,32633936,0.56,,0.21516264541304486,
2023-12-31,2024-04-01,2775864,35202356,0.22,,0.07885449485256044,
2024-12-31,2025-03-31,3038529,38031972,0.24,,0.07989406912689145,
2025-12-31,2026-04-15,786894,38909439,0.06,,0.02022373028816992,
