fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-12,12218000,113549000,1.1,,,10425000.0,2637000,0.10760112374393434,,7788000.0,,
2010-12-31,2012-03-12,13405000,121534000,1.21,,1254354000.0,17227000.0,1975000,0.11029835272434052,,15252000.0,,10.321013049846133
2011-12-31,2012-03-12,20249000,167610000,1.61,,1706157000.0,26616000.0,3965000,0.12081021418769763,,22651000.0,,10.179327009128334
2012-12-31,2013-03-18,24055000,185026000,1.9,,1821274000.0,41997000.0,3617000,0.13000875552625035,,38380000.0,,9.843340935868472
2013-12-31,2014-03-13,25413000,200097000,1.98,,1963730000.0,,3659000,0.12700340334937554,,,,9.813890263222337
2014-12-31,2015-03-09,28344000,228824000,2.14,,2008275000.0,,3053000,0.1238681257210782,,,,8.776505086878998
2015-12-31,2016-03-09,30064000,252348000,2.27,,2121353000.0,,1614000,0.11913706468844612,,,,8.406458541379365
2016-12-31,2017-03-09,35184000,330267000,2.36,,2625727000.0,,5234000,0.10653198775536157,,,,7.950315956483694
2017-12-31,2018-03-01,40676000,364571000,1.77,,2779789000.0,54875000.0,11183000,0.11157223147205894,,43692000.0,,7.6248220511231
2018-12-31,2019-03-01,46529000,458640000,1.99,,3470450000.0,62331000.0,15186000,0.10144993894993895,,47145000.0,,7.566828013256584
2019-12-31,2020-03-02,59222000,573820000,2.29,,3823852000.0,65229000.0,9374000,0.10320658046077168,,55855000.0,,6.663852776131888
2020-12-31,2021-02-26,62210000,624709000,2.34,,4352868000.0,92418000.0,7071000,0.0995823655493998,,85347000.0,,6.967833023055535
2021-12-31,2022-03-01,84137000,668459000,3.17,,4940080000.0,100844000.0,4686000,0.12586710628475345,,96158000.0,,7.3902513093548
2022-12-31,2023-03-01,81825000,558393000,2.78,,5597598000.0,110036000.0,7852000,0.1465365790760271,,102184000.0,,10.024477384207897
2023-12-31,2024-02-27,85888000,663558000,2.91,,5488640000.0,107234000.0,5745000,0.12943555800698658,,101489000.0,,8.271530145066444
2024-12-31,2025-03-03,83811000,715067000,2.83,,5580843000.0,95764000.0,5047000,0.11720719876598976,,90717000.0,,7.804643480960525
2025-12-31,2026-02-27,112635000,1162325000,3.06,,7226455000.0,159316000.0,5315000,0.09690491041662186,,154001000.0,,6.21724130514271
