fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-23,194800000,1124500000,3.88,,,364000000,527300000.0,0.17323254779902178,,-163300000.0,,
2009-12-31,2011-02-23,81400000,1102600000,1.7,,4103800000.0,265400000,398600000.0,0.0738255033557047,,-133200000.0,,3.72192998367495
2010-12-31,2011-02-23,80800000,1113700000,1.72,,4328700000.0,242100000,520200000.0,0.0725509562718865,,-278100000.0,,3.8867738170063753
2011-12-31,2012-02-24,110800000,1127300000,2.35,,4730200000.0,306800000,466400000.0,0.0982879446465005,,-159600000.0,,4.1960436441053846
2012-12-31,2013-02-26,137300000,1244200000,2.88,,4811200000.0,370200000,739300000.0,0.11035203343513905,,-369100000.0,,3.866902427262498
2013-12-31,2014-02-25,169300000,1397000000,3.59,,5152600000.0,400700000,744100000.0,0.1211882605583393,,-343400000.0,,3.6883321403006444
2014-12-31,2015-02-25,205000000,1314000000,4.48,,5623500000.0,449200000,1015200000.0,0.15601217656012176,,-566000000.0,,4.279680365296803
2015-12-31,2016-02-24,205300000,1280200000,4.69,,5614000000.0,534300000,681400000.0,0.16036556788001874,,-147100000.0,,4.385252304327449
2016-12-31,2017-02-22,257100000,1347200000,6.29,,5758200000.0,626100000,595700000.0,0.19084026128266032,,30400000.0,,4.2741983372921615
2017-12-31,2018-02-21,502000000,1792700000,12.75,,5629700000.0,496800000,566800000.0,0.28002454398393484,,-70000000.0,,3.140346962681988
2018-12-31,2019-02-25,211300000,1788100000,5.52,,5828600000.0,508500000,929300000.0,0.11817012471338292,,-420800000.0,,3.259661092780046
2019-12-31,2020-02-19,211200000,1835100000,5.81,,6450000000.0,462600000,741700000.0,0.11508909596207291,,-279100000.0,,3.514794834068988
2020-12-31,2021-02-18,151300000,1957400000,4.27,,6980200000.0,436800000,860800000.0,0.07729641360989067,,-424000000.0,,3.566057014406866
2021-12-31,2022-02-17,143100000,2019200000,3.98,,7522500000.0,507200000,1130100000.0,0.07086965134706814,,-622900000.0,,3.7254853407290014
2022-12-31,2023-02-16,155900000,2029600000,4.35,,8042400000.0,533500000,1255800000.0,0.07681316515569571,,-722300000.0,,3.9625541978715018
2023-12-31,2024-02-16,259200000,2273000000,7.12,,9053000000.0,520400000,1665000000.0,0.11403431588209414,,-1144600000.0,,3.982842058952926
2024-12-31,2025-02-19,284200000,2438900000,7.78,,9857600000.0,602100000,,0.11652794292508918,,,,4.04182213292878
2025-12-31,2026-02-19,333300000,2750500000,9.12,,14364400000.0,648100000,,0.12117796764224686,,,,5.222468642065079
