fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2007-12-31,2010-02-19,22208000000,115559000000,2.17,,0.19217888697548438,
2008-12-31,2010-02-19,17410000000,104665000000,1.72,,0.16634022834758516,
2009-12-31,2010-02-19,11025000000,117291000000,1.01,10669821000.0,0.0939969818656163,10.992780478697815
2010-12-31,2011-02-25,11644000000,118936000000,1.06,,0.0979013923454631,
2011-12-31,2012-02-24,14151000000,116438000000,1.23,,0.12153248939349696,
2012-12-31,2013-02-26,13641000000,123026000000,1.29,,0.11087900118674102,
2013-12-31,2014-02-27,13057000000,130566000000,1.27,,0.10000306358470046,
2014-12-31,2015-02-27,15233000000,128159000000,1.5,10064909484.0,0.11886016588768639,12.733249136888114
2015-12-31,2016-02-26,-6126000000,98274000000,-0.61,,-0.06233591794370841,
2016-12-31,2017-02-24,8831000000,75828000000,0.89,8742614000.0,0.1164609379121169,8.6733784655253
2017-12-31,2018-02-23,-5786000000,64263000000,-0.72,,-0.09003625725534133,
2018-12-31,2019-02-26,-22355000000,30981000000,-2.62,,-0.7215712856266744,
2019-12-31,2020-02-24,-4979000000,28316000000,-0.62,,-0.1758369826246645,
2020-12-31,2021-02-12,5704000000,35552000000,0.58,,0.16044104410441043,
2021-12-31,2022-02-11,-6520000000,40310000000,-6.16,,-0.1617464648970479,
2022-12-31,2023-02-10,225000000,36366000000,-0.05,,0.0061870978386404886,
2023-12-31,2024-02-02,9481000000,27378000000,8.36,,0.3462999488640514,
2024-12-31,2025-02-03,6556000000,19342000000,5.99,,0.33895150449798367,
2025-12-31,2026-01-29,8704000000,18677000000,8.14,,0.4660277346468919,
