fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2005-12-31,2012-02-28,-259000,185000,,,-1.4,
2006-12-31,2012-02-28,-1110000,1571000,,,-0.7065563335455124,
2007-12-31,2012-02-28,-7226000,-639000,,,11.30829420970266,
2008-12-31,2012-02-28,-14542000,3158000,,,-4.604813172894237,
2009-12-31,2012-02-28,-19885000,15083000,,,-1.3183716767221374,
2010-12-31,2012-02-28,-40112000,19959000,,,-2.0097199258479885,
2011-12-31,2012-02-28,-131348000,92137000,,,-1.4255727883477864,
2012-12-31,2013-03-26,-192060000,97831000,,,-1.9631814046672322,
2013-12-31,2014-04-15,-258866000,70975000,,,-3.647284255019373,
2014-12-31,2015-03-30,-41145000,46964000,,,-0.8760965846180053,
2015-12-31,2016-03-30,-36194000,48326000,,,-0.7489550138641725,
2016-12-31,2017-03-31,-37228000,69264000,,,-0.5374797874797875,
2017-12-31,2018-03-28,-24630000,63531000,,,-0.3876847523256363,
2018-12-31,2019-03-28,-27976000,88787000,,,-0.31509117325734626,
2019-12-31,2020-03-17,-28660000,72504000,,,-0.3952885358049211,
2020-12-31,2021-03-18,-40186000,146379000,,,-0.2745339153840373,
2021-12-31,2022-02-24,-59203000,547255000,-0.3,,-0.10818174342856621,
2022-12-31,2023-03-09,-98007000,605477000,-0.44,,-0.1618674202323127,
2023-12-31,2024-03-07,-66215000,557389000,-0.28,,-0.11879495289645113,
2024-12-31,2025-03-27,-78640000,489488000,-0.34,,-0.1606576667865198,
2025-12-31,2026-03-05,-33836000,466337000,-0.14,,-0.07255697060280442,
