fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-16,1262462,25149122,,,0.05019904869839989,
2010-12-31,2012-03-16,2064785,26332646,,,0.07841160360413457,
2011-12-31,2012-03-16,2993093,31210830,,,0.09589917986801376,
2012-12-31,2013-03-29,2665080,33587665,,,0.07934698646065452,
2013-12-31,2014-03-18,2614177,31583161,,,0.08277122736384747,
2014-12-31,2015-03-18,1914526,33830527,,,0.056591669411475615,
2015-12-31,2016-03-10,1352616,34175813,,,0.039578165997104446,
2016-12-31,2017-03-29,1100720,33814189,,,0.03255201536845967,
2017-12-31,2018-04-02,911000,34042000,,,0.026761059867222842,
2018-12-31,2019-03-29,1583000,34051000,,,0.04648908989456991,
2019-12-31,2020-03-27,1599000,35680000,,,0.044815022421524665,
2020-12-31,2021-03-26,1668000,37093000,0.59,,0.044968053271506755,
2021-12-31,2022-03-25,2516387,35716000,0.88,,0.07045545413820137,
2022-12-31,2023-03-29,1745182,16054000,0.61,,0.10870698891242057,
2023-12-31,2024-03-22,1429094,19325000,0.5,,0.07395053040103493,
2024-12-31,2025-04-08,-111563,17817000,-0.04,,-0.006261604085985295,
