fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2014-03-25,26684000,219911000,0.23,,,,5131000.0,0.12133999663500235,,,,
2012-12-31,2014-03-25,22919000,236330000,0.2,,30745000.0,,1930000.0,0.09697880082934879,,,,0.130093513307663
2013-12-31,2014-03-25,19830000,142429000,0.17,,2466810000.0,,12198000.0,0.1392272641105393,,,,17.319576771584437
2014-12-31,2015-02-27,185384000,-124736000,1.58,,2689316000.0,,139231000.0,-1.4862108773730118,,,,
2015-12-31,2016-02-22,128122000,-253514000,1.08,,2701669000.0,,16149000.0,-0.505384318025829,,,,
2016-12-31,2017-02-22,289305000,2433869000,1.6,,4935461000.0,514370000.0,330000.0,0.1188662988846154,,514040000.0,,2.027825244497547
2017-12-31,2018-02-16,380598000,2458247000,1.79,,4788635000.0,598711000.0,78000.0,0.15482496266648552,,598633000.0,,1.947987732721732
2018-12-31,2019-02-13,339516000,2265607000,1.58,,6311686000.0,654433000.0,20000.0,0.1498565285153162,,654413000.0,,2.7858697470479212
2019-12-31,2020-02-21,390881000,2074245000,1.81,,6360053000.0,750302000.0,0.0,0.18844495225973787,,750302000.0,,3.0662014371494206
2020-12-31,2021-02-19,505711000,2675018000,2.3,,6359350000.0,428077000.0,474000.0,0.1890495690122459,,427603000.0,,2.37731110594396
2021-12-31,2022-02-24,534047000,3185013000,2.26,,7300309000.0,803778000.0,13926000.0,0.167674982802268,,789852000.0,,2.292081382399381
2022-12-31,2023-02-23,684653000,3777958000,2.7,,6812290000.0,920126000.0,,0.18122303106598855,,,,1.8031672136111625
2023-12-31,2024-02-27,734283000,4156905000,2.77,,7297704000.0,1009372000.0,,0.17664175630667528,,,,1.7555618903968218
2024-12-31,2025-02-20,784620000,4268562000,2.87,,8430425000.0,1072770000.0,,0.18381365902615449,,,,1.9750035257775336
2025-12-31,2026-02-19,825111000,4626452000,2.95,,7901349000.0,1129417000.0,,0.17834638725312615,,,,1.70786360692816
