fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-09-30,2011-12-05,2983613,10337690,0.1,,0.28861505810292243,
2011-09-30,2011-12-05,5022902,20275298,0.15,,0.24773505178567537,
2012-09-30,2012-12-04,1462020,22421769,0.04,,0.0652053814308764,
2013-09-30,2013-11-21,1262812,24761409,0.04,,0.05099919798586583,
2014-09-30,2014-11-20,3327088,28702791,0.1,,0.1159151387055008,
2015-09-30,2015-12-03,9687816,37949212,0.29,,0.2552837197251948,
2016-09-30,2016-12-07,-1281599,34570885,-0.04,,-0.03707162833696621,
2017-09-30,2017-12-13,-876754,35184039,-0.03,,-0.024919083337760058,
2018-09-30,2018-12-21,-3745042,33489207,-0.12,,-0.11182832725779383,
2019-09-30,2019-12-10,2784992,35381349,0.08,,0.07871356176950743,
2020-09-30,2020-12-10,11874000,49140000,0.35,,0.24163614163614164,
2021-09-30,2021-11-23,704000,65958000,0.02,,0.010673458867764335,
2022-09-30,2022-12-16,-16212000,50393000,-0.44,,-0.3217113487984442,
2023-09-30,2023-12-07,-18396000,33812000,-0.5,,-0.5440671950786703,
2024-09-30,2024-12-13,-31730000,17563000,-0.72,,-1.8066389568980243,
2025-09-30,2025-12-15,-18112000,2167000,-0.4,,-8.35809875403784,
