fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2016-02-26,684959000,3349074000,4.4,,,1056731000.0,124063000,0.20452190665240602,,932668000.0,,
2014-12-31,2016-02-26,711286000,3301248000,4.61,,,,107681000,0.21545972916908998,,,,
2015-12-31,2016-02-26,705672000,3146567000,4.63,,,,109544000,0.22426727287230813,,,,
2016-12-31,2017-02-27,687240000,3193728000,4.59,,,946078000.0,160643000,0.21518426115185765,,785435000.0,,
2017-12-31,2018-02-27,616757000,3412152000,4.18,,,815043000.0,156760000,0.18075308485671213,,658283000.0,,
2018-12-31,2019-02-25,810474000,3450451000,5.5,,,1145164000.0,232422000,0.23488929418212287,,912742000.0,,
2019-12-31,2020-02-21,621085000,3674707000,4.24,,,892010000.0,297869000,0.16901619639334511,,594141000.0,,
2020-12-31,2021-02-19,-29102000,3204796000,-0.2,,,,153502000,-0.009080765203151776,,,,
2021-12-31,2022-02-17,898790000,3490742000,6.23,,,1258285000.0,266136000,0.257478209503882,,992149000.0,,
2022-12-31,2023-02-23,1182701000,3790363000,8.31,,,1466971000.0,339632000,0.3120284257734681,,1127339000.0,,
2023-12-31,2024-02-22,1316524000,4401047000,9.33,,,1435610000.0,512675000,0.29913881855840213,,922935000.0,,
2024-12-31,2025-02-21,904076000,4337407000,6.47,,,1251251000.0,567339000,0.20843697628560104,,683912000.0,,
2025-12-31,2026-02-20,65945000,4422991000,0.47,,,890762000.0,469838000,0.014909593982895285,,420924000.0,,
