fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2007-11-30,2010-03-01,11599000000,42800000000,24.73,,,,,0.27100467289719626,,,,
2008-11-28,2010-03-01,2322000000,64369000000,4.47,,820178000000.0,,,0.03607326508101726,,,,12.741816713014028
2009-12-31,2010-03-01,13385000000,70714000000,22.13,,778228000000.0,,,0.1892835930650225,,,,11.005288910258223
2008-11-30,2011-03-01,2322000000,64369000000,4.47,,,,,0.03607326508101726,,,,
2010-12-31,2011-03-01,8354000000,77356000000,13.18,,833976000000.0,,,0.10799420859403279,,,,10.781012461864625
2011-12-31,2012-02-28,4442000000,70379000000,4.51,,852846000000.0,,1184000000.0,0.06311541795137754,,,,12.117904488554824
2012-12-31,2013-03-01,7475000000,75716000000,14.13,,862839000000.0,,961000000.0,0.09872417982989064,,,,11.395728775952243
2013-12-31,2014-02-28,8040000000,78467000000,15.46,,833040000000.0,,706000000.0,0.1024634559751233,,,,10.616437483273224
2014-12-31,2015-02-23,8477000000,82797000000,17.07,,773443000000.0,,678000000.0,0.10238293657982778,,,,9.34143749169656
2015-12-31,2016-02-22,6083000000,86728000000,12.14,,774667000000.0,,1833000000.0,0.07013882483165759,,,,8.932144174891615
2016-12-31,2017-02-27,7398000000,86893000000,16.29,,773272000000.0,6494000000.0,2876000000.0,0.08513919418134948,,3618000000.0,,8.899128813598333
2017-12-31,2018-02-26,4286000000,82243000000,9.01,,834533000000.0,-18227000000.0,3185000000.0,0.05211385771433435,,-21412000000.0,,10.147161460549833
2018-12-31,2019-02-26,10459000000,90185000000,25.27,,841611000000.0,20421000000.0,7982000000.0,0.11597272273659699,,12439000000.0,,9.33205078449853
2019-12-31,2020-02-21,8466000000,90265000000,21.03,,902703000000.0,23868000000.0,8443000000.0,0.09379050573311914,,15425000000.0,,10.000587160028804
2020-12-31,2021-02-22,9459000000,95932000000,24.74,,1067096000000.0,-13728000000.0,6309000000.0,0.09860109244047867,,-20037000000.0,,11.123462452570571
2021-12-31,2022-02-25,21635000000,109926000000,59.45,,1354062000000.0,921000000.0,4667000000.0,0.19681422047559266,,-3746000000.0,,12.317941160417007
2022-12-31,2023-02-24,11261000000,117189000000,30.06,,1324610000000.0,8708000000.0,3748000000.0,0.09609263668091715,,4960000000.0,,11.303193985783649
2023-12-31,2024-02-23,8516000000,116905000000,22.87,,1524689000000.0,-12587000000.0,2316000000.0,0.07284547281981096,,-14903000000.0,,13.042119669817373
2024-12-31,2025-02-27,14276000000,121996000000,40.54,,1553976000000.0,-13212000000.0,2091000000.0,0.11702023017148103,,-15303000000.0,,12.73792583363389
2025-12-31,2026-02-25,17176000000,124972000000,51.32,,1684348000000.0,-45154000000.0,2064000000.0,0.13743878628812853,,-47218000000.0,,13.477803027878245
