fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-09,23865000,304009000,1.46,,3107496000,84955000,-29850000,0.07850096543194444,,114805000,,10.221723698969438
2011-12-31,2012-03-09,30269000,324587000,1.93,,3465425000,107998000,-19425000,0.09325388878790586,,127423000,,10.676413411504466
2012-12-31,2013-03-11,48706000,369874000,3.54,,3585308000,146916000,-27825000,0.1316826811292494,,174741000,,9.693322590936372
2013-12-31,2014-03-10,33729000,380698000,2.42,,3179552000,93921000,-13853000,0.08859778617171617,,107774000,,8.35190098188065
2014-12-31,2015-03-06,43529000,419745000,3.1,,3531589000,67433000,-17954000,0.10370343899272177,,85387000,,8.413653527737079
2015-12-31,2016-03-03,46502000,398227000,3.28,,3705962000,71429000,-16697000,0.1167725945252331,,88126000,,9.306154529954021
2016-12-31,2017-03-03,45342000,429806000,3.21,,4120857000,80055000,-10878000,0.1054941066434624,,90933000,,9.587713991894017
2017-12-31,2018-03-06,51564000,471662000,3.64,,3942859000,62817000,-7404000,0.10932404984925646,,70221000,,8.359501083402945
2018-12-31,2019-03-07,67109000,531977000,4.71,,4144223000,94195000,-9317000,0.12615019070373343,,103512000,,7.790229652785741
2019-12-31,2020-03-06,73612000,603066000,5.14,,4412006000,86419000,-11789000,0.12206292511930701,,98208000,,7.315958783947362
2020-12-31,2021-03-05,59313000,629741000,4.21,,4896679000,46048000,8224000,0.09418634009854845,,37824000,,7.775703027117498
2021-12-31,2022-03-07,74627000,616752000,5.46,,4833192000,84976000,5739000,0.12100001297117804,,79237000,,7.836524243131762
2022-12-31,2023-03-13,75948000,533087000,6.02,,5147615000,66580000,20110000,0.142468302547239,,46470000,,9.656238099972425
2023-12-31,2024-03-12,67800000,571829000,5.61,,5240573000,80700000,7300000,0.11856691423484993,,73400000,,9.16458067009543
2024-12-31,2025-03-07,61807000,599568000,5.26,,5382060000,44064000,4924000,0.10308588850639126,,39140000,,8.976563125450324
2025-12-31,2026-03-06,70973000,636126000,6.19,,4962480000,81521000,11465000,0.11157066367354895,,70056000,,7.8010960092811805
