fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2010-12-31,2012-04-16,-2995000,-5469000,,,0.5476321082464801,
2011-12-31,2012-04-16,-3700000,-5101000,,,0.7253479709860812,
2012-12-31,2014-11-18,-5171000,-6336000,,,0.8161300505050505,
2013-12-31,2015-01-08,-501000,-6334000,,,0.079096937164509,
2014-12-31,2015-03-31,-23489000,-29574000,,,0.7942449448840198,
2015-12-31,2016-03-30,-32726000,-61834000,,,0.5292557492641589,
2016-12-31,2017-03-31,21033000,-18924000,119.91,,-1.1114457831325302,
2017-12-31,2018-03-01,-143247000,251689000,-8.54,,-0.5691428707651109,
2018-12-31,2019-03-29,-259186000,11370000,-5.16,,-22.79560246262093,
2019-12-31,2020-03-27,-38647000,-19310000,,,2.0013982392542724,
2020-06-30,2021-04-16,-19130000,-27499000,,,0.6956616604240154,
2020-09-30,2021-04-16,-22006000,-29777000,,,0.7390267656244752,
2020-12-31,2021-04-16,-28296000,-29433000,,,0.9613698909387423,
2021-12-31,2022-03-28,-58013000,21910000,,,-2.6477863989046098,
2022-12-31,2023-03-30,-20884000,11734000,-19.66,,-1.7797852394750298,
2023-12-31,2024-03-26,-7597000,7476000,-5.64,,-1.0161851257356875,
2024-12-31,2025-02-21,-13162000,-1670000,-6.94,,7.881437125748503,
2025-06-30,2026-03-02,-30945000,-25875000,-12.12,,1.1959420289855072,
2025-09-30,2026-03-02,-22646000,3000000,-8.9,,-7.548666666666667,
2025-12-31,2026-03-02,-28354000,5787000,-6.68,,-4.899602557456368,
