fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2017-03-10,64931000,27680000,3.54,,,11646000,1655000,2.3457731213872832,,9991000,,
2015-12-31,2017-03-10,21363000,20063000,1.17,,215679000.0,4245000,3355000,1.0647958929372476,,890000,,10.750087225240492
2016-12-31,2017-03-10,-2852000,15191000,-0.15,,223628000.0,1895000,8588000,-0.18774274241327102,,-6693000,,14.721084852873412
2017-12-31,2018-03-09,4551000,14860000,0.23,,223708000.0,11156000,20885000,0.3062584118438762,,-9729000,,15.054374158815612
2018-12-31,2019-03-07,3103000,27871000,0.15,,234590000.0,11307000,4787000,0.1113343618815256,,6520000,,8.416992572925263
2019-12-31,2020-03-05,2224000,24672000,0.1,,241441000.0,11566000,11187000,0.09014267185473411,,379000,,9.786032749675746
2020-12-31,2021-03-04,1105000,32188000,0.05,,251260000.0,14566000,9131000,0.034329563812600966,,5435000,,7.806014663849882
2021-12-31,2022-03-10,3609000,30029000,0.16,,264045000.0,20386000,18250000,0.12018382230510506,,2136000,,8.793000099903427
2022-12-31,2023-03-09,5506000,44394000,0.24,,278692000.0,23336000,33984000,0.12402576924809659,,-10648000,,6.277695184033878
2023-12-31,2024-03-07,7982000,48620000,0.33,,312475000.0,25393000,22312000,0.16417112299465242,,3081000,,6.4268819415878236
2024-12-31,2025-03-05,5789000,47604000,0.24,,,21785000,32324000,0.12160742794723133,,-10539000,,
2025-12-31,2026-03-04,2957000,86616000,0.11,,,20168000,67321000,0.034139189064376095,,-47153000,,
