fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2010-02-17,2224000000,7725000000,2.45,,6641000000,2674000000,,0.2878964401294498,,,,0.8596763754045308
2009-12-31,2010-02-17,1145000000,8728000000,1.27,,7781000000,2406000000,,0.13118698441796517,,,,0.8914986251145738
2010-12-31,2011-02-17,1835000000,10373000000,2.01,,7910000000,2212000000,,0.17690157138725537,,,,0.7625566374240818
2011-12-31,2012-02-16,2839000000,13198000000,3.08,,10461000000,3684000000,,0.21510834974996212,,,,0.7926200939536293
2012-12-31,2013-02-11,2635000000,15765000000,2.84,,11620000000,3654000000,,0.16714240405962574,,,,0.7370758008246114
2013-12-31,2014-02-07,2125000000,13581000000,2.36,,15608000000,4447000000,,0.15646859583241293,,,,1.149252632354024
2014-12-31,2015-02-24,3500000000,16267000000,4.11,,15942000000,4062000000,,0.21515952541956107,,,,0.9800209012110408
2015-12-31,2016-02-05,-671000000,15462000000,-0.79,,21447000000,2906000000,,-0.04339671452593455,,,,1.3870779976717114
2016-12-31,2017-02-07,-5763000000,9409000000,-6.69,,17552000000,-1703000000,,-0.6124986714847487,,,,1.8654479753427569
2017-12-31,2018-02-09,-463000000,8322000000,-0.53,,16736000000,2468000000,,-0.05563566450372506,,,,2.0110550348473923
2018-12-31,2019-02-13,1656000000,9522000000,1.89,,16438000000,3157000000,,0.17391304347826086,,,,1.7263180004200798
2019-12-31,2020-02-11,-1131000000,8012000000,-1.29,,17352000000,2445000000,,-0.14116325511732403,,,,2.1657513729405893
2020-12-31,2021-02-05,-2945000000,4974000000,,,15697000000,1881000000,,-0.5920788098110172,,,,3.1558102131081625
2021-12-31,2022-02-04,1457000000,6713000000,,,15593000000,1911000000,,0.21704156115000744,,,,2.322806494860718
2022-12-31,2023-02-07,1572000000,7948000000,,,15278000000,2242000000,,0.19778560644187218,,,,1.9222445898339204
2023-12-31,2024-02-06,2638000000,9391000000,,,15250000000,3458000000,,0.28090725162389524,,,,1.623895218826536
2024-12-31,2025-02-12,2501000000,10506000000,,,15039000000,3865000000,,0.23805444507900247,,,,1.4314677327241576
2025-12-31,2026-02-06,1283000000,10461000000,,,14505000000,2926000000,,0.12264601854507218,,,,1.386578720963579
