fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-12,-58360523,6903389,,,-8.453894601622478,
2010-12-31,2012-03-12,-53241650,20351456,,,-2.616110120081826,
2011-12-31,2012-03-12,-19769851,10900116,,,-1.8137284961004085,
2012-12-31,2013-03-01,-53552002,48853719,,,-1.0961704266567711,
2013-12-31,2014-02-28,-83478551,-19990676,,,4.1758743426185285,
2014-12-31,2015-03-02,-68375000,41352000,,,-1.6534871348423292,
2015-12-31,2016-02-29,-32231000,42999000,0.03,,-0.7495755715249192,
2016-12-31,2017-02-28,-103023000,-32481000,0.03,,3.171792740371294,
2017-12-31,2018-02-20,62971000,208366000,0.45,,0.3022134129368515,
2018-12-31,2019-02-21,-80330000,248887000,-0.56,,-0.3227569137801492,
2019-12-31,2020-02-24,-72240000,91765000,-0.5,,-0.7872282460633139,
2020-12-31,2021-02-23,129085000,151047000,0.91,,0.8546015478625858,
2021-12-31,2022-02-22,402710000,196953000,2.74,,2.044701020040314,
2022-12-31,2023-02-21,202129000,169798000,1.44,,1.1904086031637593,
2023-12-31,2024-02-20,281594000,83808000,2.1,,3.3599894998090876,
2024-12-31,2025-02-18,444091000,363821000,3.43,,1.2206304748763814,
2025-12-31,2026-02-17,316889000,48814000,2.56,,6.491764657680173,
