fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-02-03,2010-03-25,4395000000,17714000000,2.37,,,5727000000,,0.2481088404651688,,,,
2009-02-01,2010-03-25,2260000000,17777000000,1.34,,23387000000.0,5528000000,,0.12713056196208583,,,,1.3155763064634078
2010-01-31,2010-03-25,2661000000,19393000000,1.57,,21484000000.0,5125000000,,0.13721445882534936,,,,1.1078224101479917
2011-01-30,2011-03-24,3338000000,18889000000,2.01,,21236000000.0,4585000000,,0.17671660754936735,,,,1.124252210281116
2012-01-29,2012-03-22,3883000000,17898000000,2.47,,22620000000.0,6651000000,,0.21695161470555369,,,,1.263828360710694
2013-02-03,2013-03-28,4535000000,17777000000,3.0,,23307000000.0,6975000000,,0.25510491083984926,,,,1.311076109579794
2014-02-02,2014-03-27,5385000000,12522000000,3.76,,27996000000.0,7628000000,,0.43004312410158124,,,,2.2357450886439865
2015-02-01,2015-03-26,6345000000,9322000000,4.71,,30624000000.0,8242000000,,0.680647929628835,,,,3.285131945934349
2016-01-31,2016-03-24,7009000000,6316000000,5.46,,36233000000.0,9373000000,,1.1097213426219126,,,,5.736700443318556
2017-01-29,2017-03-23,7957000000,4333000000,6.45,,38633000000.0,9783000000,,1.836372028617586,,,,8.915993537964459
2018-01-28,2018-03-22,8630000000,1454000000,7.29,,43075000000.0,12031000000,,5.9353507565337,,,,29.625171939477305
2019-02-03,2019-03-28,11121000000,-1878000000,9.73,,45881000000.0,13038000000,,-5.921725239616613,,,,
2020-02-02,2020-03-25,11242000000,-3116000000,10.25,,54352000000.0,13723000000,,-3.6078305519897302,,,,
2021-01-31,2021-03-24,12866000000,3299000000,11.94,,67282000000.0,18839000000,,3.899969687784177,,,,20.394665050015156
2022-01-30,2022-03-23,16433000000,-1696000000,15.53,,73572000000.0,16571000000,,-9.689268867924529,,,,
2023-01-29,2023-03-15,17105000000,1562000000,16.69,,74883000000.0,14615000000,,10.950704225352112,,,,47.9404609475032
2024-01-28,2024-03-13,15143000000,1044000000,15.11,,75486000000.0,21172000000,,14.504789272030651,,,,72.30459770114942
2025-02-02,2025-03-21,14806000000,6640000000,14.91,,89479000000.0,19810000000,,2.2298192771084335,,,,13.475753012048193
2026-02-01,2026-03-18,14156000000,12813000000,14.23,,92282000000.0,16325000000,,1.1048154218371966,,,,7.202216498868337
