fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2013-03-28,30713000,42940000,1.13,,4207000,4051000.0,0,0.7152538425710293,,4051000.0,,0.09797391709361901
2012-12-31,2013-03-28,-1813000,46012000,-0.06,,15298000,-4802000.0,28000,-0.03940276449621838,,-4830000.0,,0.33247848387377205
2013-12-31,2014-03-31,-6396000,39497000,,,10498000,2261000.0,10000,-0.16193634959617187,,2251000.0,,0.2657923386586323
2014-12-31,2015-03-31,-26514000,13477000,,,18393000,-357000.0,127000,-1.9673517845217778,,-484000.0,,1.3647696074794093
2015-12-31,2016-03-17,-10421000,3394000,-0.37,,15408000,,9000,-3.0704183853859752,,,,4.539776075427224
2016-12-31,2017-03-07,14000,3494000,0.0,,11650000,,99000,0.004006868918145392,,,,3.3342873497424157
2017-12-31,2018-03-13,-249000,3488000,-0.01,,9962000,1182000.0,44000,-0.07138761467889908,,1138000.0,,2.856077981651376
2018-12-31,2019-03-11,3751000,7600000,0.13,,13031000,7470000.0,99000,0.49355263157894735,,7371000.0,,1.7146052631578947
2019-12-31,2020-03-09,3899000,11847000,0.13,,10070000,794000.0,116000,0.3291128555752511,,678000.0,,0.850004220477758
2020-12-31,2021-03-08,9658000,29943000,0.3,,14612000,9148000.0,7000,0.3225461710583442,,9141000.0,,0.48799385499114983
2021-12-31,2022-03-17,3053000,32639000,0.08,,17825000,-2631000.0,1425000,0.09353840497564264,,-4056000.0,,0.5461258004228071
2022-12-31,2023-03-24,15493000,48299000,0.42,,19261000,6483000.0,215000,0.32077268680510984,,6268000.0,,0.39878672436282325
2023-12-31,2024-03-14,12475000,61080000,0.33,,22088000,13021000.0,257000,0.20424034053700066,,12764000.0,,0.3616240995415848
2024-12-31,2025-03-13,5182000,65201000,0.14,,16108000,7745000.0,137000,0.07947730863023574,,7608000.0,,0.24705142559163204
2025-12-31,2026-03-12,3587000,66983000,0.1,,21456000,6137000.0,8470000,0.05355090097487422,,-2333000.0,,0.32032008121463657
