fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2011-02-25,156054000,1405257000,0.96,,0.11105014954559914,
2010-12-31,2011-02-25,-126988000,1260604000,-1.22,,-0.10073583774127323,
2011-12-31,2012-02-24,129979000,1421403000,1.22,,0.09144415763861481,
2012-12-31,2013-02-22,-46297000,1393385000,-0.44,,-0.03322627988675061,
2015-12-31,2018-02-23,-376980000,1278963000,-3.58,,-0.2947544221373097,
2016-12-31,2018-02-23,-81445000,1281814000,-0.73,,-0.06353885977216664,
2017-12-31,2018-02-23,30052000,1567393000,0.2,,0.019173238619797334,
2018-12-31,2019-02-22,28598000,1617779000,0.19,,0.017677321809715665,
2019-12-31,2020-02-27,57919000,1699591000,0.38,,0.03407819881371459,
2020-12-31,2021-02-25,22174000,1740496000,0.13,,0.012740046515476049,
2021-12-31,2022-02-24,-61538000,1647469000,-0.41,,-0.03735305489814983,
2022-12-31,2023-02-24,-87784000,1516709000,-0.58,,-0.05787794494527296,
2023-12-31,2024-02-29,-10838000,1501000000,-0.07,,-0.00722051965356429,
2024-12-31,2025-02-27,55637000,1519765000,0.36,,0.036608949409941666,
2025-12-31,2026-02-26,30827000,1579912000,0.21,,0.019511846229410247,
