fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-09-30,2013-12-04,4820000,29787000,0.83,,44947000,6158000.0,253000,0.16181555712223453,,5905000.0,,1.5089468560110115
2014-09-30,2014-12-02,7667000,37414000,1.3,,37901000,,140000,0.20492329074677929,,,,1.013016517881007
2015-09-30,2015-11-30,11389000,23095000,1.91,,50038000,,258000,0.49313704264992425,,,,2.166616150681966
2016-09-30,2016-12-01,14367000,37331000,2.79,,48049000,,184000,0.3848544105435161,,,,1.2871072299161554
2017-09-30,2017-12-04,14942000,51530000,1.92,,46397000,19846000.0,176000,0.2899670095090239,,19670000.0,,0.9003881234232486
2018-09-30,2018-11-28,20615000,70980000,2.61,,38500000,21531000.0,360000,0.29043392504930965,,21171000.0,,0.5424063116370809
2019-09-30,2019-12-03,11031000,75528000,1.42,,34680000,14392000.0,204000,0.14605179536066096,,14188000.0,,0.4591674610740388
2020-09-30,2020-12-01,7841000,78178000,1.06,,16608000,10623000.0,172000,0.10029675867891223,,10451000.0,,0.21243828186957966
2021-09-30,2021-11-24,7902000,83262000,1.07,,18643000,10386000.0,249000,0.09490523888448511,,10137000.0,,0.2239076649612068
2022-09-30,2022-12-07,6190000,86298000,0.82,,57354000,8665000.0,216000,0.07172819764073328,,8449000.0,,0.6646040464437183
2023-09-30,2023-12-07,4771000,87752000,0.63,,57967000,7134000.0,215000,0.054369131187893154,,6919000.0,,0.6605775366943204
2024-09-30,2024-12-11,7097000,91311000,0.92,,60788000,9277000.0,313000,0.0777233849152895,,8964000.0,,0.6657248305242522
2025-09-30,2025-12-03,9960000,97736000,1.27,,62723000,13792000.0,440000,0.101907178521732,,13352000.0,,0.6417594335761644
