fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-04-09,-1560352,-176918,-0.03,,9473744,2640352,,8.819633954713483,,,,
2011-12-30,2012-04-09,853903,1764664,0.01,,6733149,-627321,,0.48388985098579673,,,,3.8155416555219577
2012-12-28,2013-03-22,1559277,4006521,0.02,,17944469,-1834352,,0.3891847815099434,,,,4.4788156607690315
2013-12-27,2014-03-20,2940871,7413990,0.05,,16334706,5207277,,0.39666508856904314,,,,2.2032274119603614
2014-12-26,2015-03-04,9125754,18764187,0.14,,9436575,7758143,,0.486338896537324,,,,0.5029034831085407
2015-12-25,2016-03-24,1713159,19641508,0.03,,6479931,3334253,,0.08722135795276004,,,,0.3299100557859407
2016-12-30,2017-04-11,759326,18863855,0.01,,5432489,13174,,0.0402529599596689,,,,0.2879840308356908
2017-12-29,2018-03-29,1679348,19595789,0.33,,5768458,4747668,,0.08569943266892698,,,,0.29437232662588886
2018-12-28,2019-04-09,974287,18891467,0.2,,4540778,2622950,,0.051572860911225156,,,,0.24036132291896653
2018-12-31,2020-03-30,7117187,10922826,0.72,,13443061,5074159,,0.6515884259256716,,,,1.230731039751068
2019-12-31,2020-03-30,-289979,31282082,-0.03,,15629980,4957813,,-0.009269811389152423,,,,0.4996464110029505
2020-12-31,2021-03-25,5359414,36364273,0.39,,12730769,10880328,,0.14738130472180758,,,,0.35009001829900466
2021-12-31,2022-03-15,11849934,46734931,0.87,,30616636,17381558,,0.253556253244495,,,,0.6551124682306688
2022-12-31,2023-03-21,12458000,58254000,0.91,,45029000,16878000,,0.21385655920623475,,,,0.7729769629553336
2023-12-31,2024-03-21,6135000,62732000,0.45,,41094000,10621000,,0.09779697761907798,,,,0.6550723713575208
2024-12-31,2025-03-27,3672000,64804000,0.26,,29209000,12039000,,0.05666316894018888,,,,0.4507283501018456
2025-12-31,2026-03-31,6330000,68321000,0.45,,19906000,12046000,,0.09265086869337393,,,,0.29135990398267003
