fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-01-31,2015-03-31,11169000,-6399000,0.25,,,11770000,831000,-1.7454289732770745,,10939000,,
2014-01-31,2015-03-31,1233000,-12706000,-1.26,,21082000.0,18015000,1595000,-0.09704076814103572,,16420000,,
2015-01-31,2015-03-31,10166000,144095000,0.21,,14674000.0,15046000,1712000,0.07055067837190743,,13334000,,0.10183559457302474
2016-01-31,2016-03-31,16613000,203457000,0.28,,16338000.0,26541000,2376000,0.08165361722624437,,24165000,,0.0803019802710155
2017-01-31,2017-03-30,26376000,261940000,0.44,,17196000.0,45591000,3645000,0.10069481560662748,,41946000,,0.06564862182179125
2018-01-31,2018-03-28,47362000,346274000,0.77,,22885000.0,81702000,5458000,0.13677607905878003,,76244000,,0.06608928189815003
2019-01-31,2019-03-28,73899000,477079000,1.17,,32937000.0,113422000,3869000,0.15489887419064768,,109553000,,0.06903888035314906
2020-01-31,2020-03-31,39664000,1030295000,0.58,,1534686000.0,105010000,7286000,0.03849771182040095,,97724000,,1.489559786274805
2021-01-31,2021-03-31,8834000,1378728000,0.12,,1331679000.0,181619000,13093000,0.006407355185359258,,168526000,,0.9658750674534788
2022-01-31,2022-03-31,-44289000,1852575000,-0.53,,1254527000.0,140995000,8908000,-0.023906724424112385,,132087000,,0.677180141154879
2023-01-31,2023-03-30,-26143000,1895640000,-0.31,,1193260000.0,150650000,3371000,-0.013791120676921778,,147279000,,0.6294760608554367
2024-01-31,2024-03-22,55712000,2035021000,0.64,,1128769000.0,242826000,1694000,0.027376621666312044,,241132000,,0.5546719173905331
2025-01-31,2025-03-18,96703000,2114911000,1.09,,1333639000.0,339856000,2084000,0.04572438272816208,,337772000,,0.6305887103523505
2026-01-31,2026-03-17,215201000,2107196000,2.46,,1273136000.0,457094000,1969000,0.10212671246528562,,455125000,,0.6041848978452883
