fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-03-31,2016-01-11,-8517850,-7850,,,,-12014.0,,1085.0764331210191,,,,
2014-03-31,2016-01-11,-1067284,-267977,,,583945.0,-348698.0,,3.982744787798953,,,,
2015-03-31,2016-01-11,-9838317,-1562901,-0.17,,2779248.0,-6321285.0,,6.294907354976419,,,,
2016-03-31,2016-06-28,-6881812,-16192,-0.12,,4056914.0,-7937412.0,,425.0130928853755,,,,
2016-12-31,2018-03-12,-12040000,-3444000,,,6894000.0,,0.0,3.4959349593495936,,,,
2017-12-31,2018-03-12,-28024000,-7490000,,,14299000.0,-19325000.0,190000.0,3.7415220293724967,,-19515000.0,,
2018-12-31,2019-03-14,-28623000,9854000,-1.26,,17973000.0,-19621000.0,440000.0,-2.904708747716663,,-20061000.0,,1.8239293687842502
2019-12-31,2020-03-12,-9781000,5835000,-0.37,,4512000.0,-20999000.0,278000.0,-1.6762639245929734,,-21277000.0,,0.7732647814910025
2020-12-31,2021-03-10,-14130000,3871000,-11.8,,2676000.0,-11738000.0,63000.0,-3.6502195815034875,,-11801000.0,,0.6912942392146733
2021-12-31,2022-03-14,-18132000,11256000,-7.38,,2846000.0,-13388000.0,54000.0,-1.6108742004264391,,-13442000.0,,0.2528429282160625
2022-12-31,2023-03-09,-14072000,8151000,-1.04,,9136000.0,-14310000.0,17000.0,-1.7264139369402527,,-14327000.0,,1.1208440682124892
2023-12-31,2024-03-28,-8850000,2350000,-14.56,,5342000.0,-10416000.0,29000.0,-3.765957446808511,,-10445000.0,,2.273191489361702
2024-12-31,2025-03-25,-11742000,1059000,-4.33,,2483000.0,-11041000.0,5000.0,-11.087818696883852,,-11046000.0,,2.34466477809254
2025-12-31,2026-03-31,-40890000,300913000,-1.85,,3016000.0,-16514000.0,,-0.13588645223037887,,,,0.010022830519120144
