fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-03-28,2012-06-01,23847000,121498000,2.32,,,38782000,8331000,0.19627483579976626,,30451000,,
2011-04-03,2012-06-01,20314000,136443000,1.96,,48562000.0,28533000,12421000,0.14888268361147144,,16112000,,0.35591419127401186
2012-04-01,2012-06-01,22685000,156607000,2.18,,47474000.0,33682000,20057000,0.14485303977472272,,13625000,,0.30314098348094276
2013-03-31,2013-05-30,17126000,170172000,1.62,,51976000.0,35474000,26660000,0.10063935312507345,,8814000,,0.3054321510001645
2014-03-30,2014-05-29,18094000,182413000,1.71,,54780000.0,34612000,12261000,0.09919249176319671,,22351000,,0.30030754387022857
2015-03-29,2015-05-28,19214000,193964000,1.81,,54498000.0,20664000,14552000,0.09905961931079994,,6112000,,0.2809696644738199
2016-04-03,2016-06-03,18143000,200975000,1.72,,235516000.0,36333000,24183000,0.09027490981465357,,12150000,,1.171867147655181
2017-04-02,2017-06-01,22555000,217828000,2.13,,200756000.0,44855000,21616000,0.10354499880639771,,23239000,,0.9216262372146832
2018-04-01,2018-05-31,-9177000,202247000,-0.86,,188744000.0,27349000,19703000,-0.04537520952103121,,7646000,,0.9332351036109312
2019-03-31,2019-05-23,24433000,217861000,2.28,,167738000.0,47990000,12618000,0.11214948981231151,,35372000,,0.7699312864624692
2020-03-29,2020-05-20,28367000,233484000,2.66,,155844000.0,58902000,24549000,0.12149440646896575,,34353000,,0.6674718610268798
2021-03-28,2021-06-02,40980000,265246000,1.93,,207304000.0,43793000,20794000,0.15449808856683983,,22999000,,0.7815537274831665
2022-04-03,2022-05-18,51542000,302601000,2.44,,264727000.0,42837000,28512000,0.17032990637836623,,14325000,,0.8748384836798292
2023-04-02,2023-05-17,60041000,350016000,2.86,,240519000.0,77400000,48321000,0.1715378725543975,,29079000,,0.6871657295666483
2024-03-31,2024-05-15,75363000,406026000,3.59,,251908000.0,159499000,40151000,0.1856112662735884,,119348000,,0.6204233226443627
2025-03-30,2025-05-14,84345000,460292000,4.03,,309575000.0,111096000,41096000,0.1832423765783459,,70000000,,0.6725621996471804
2026-03-29,2026-05-13,81548000,534009000,3.91,,452281000.0,144327000,58239000,0.15270903673908118,,86088000,,0.8469538902902386
