fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-28,132112000,1257297000,1.92,,0.10507620713323901,
2009-12-31,2011-02-28,142742000,1407470000,1.9,,0.10141743696135619,
2010-12-31,2011-02-28,130023000,1459217000,1.72,,0.08910463625355242,
2011-12-31,2012-02-27,127149000,1600165000,1.69,,0.07945993069464712,
2012-12-31,2013-02-25,107835000,1435708000,1.39,,0.07510928406054714,
2013-12-31,2014-02-24,126351000,1424408000,1.88,,0.08870421957753677,
2014-12-31,2015-02-27,153151000,1580658000,2.28,,0.09689066199013323,
2015-12-31,2016-02-26,136726000,1665503000,2.05,,0.08209291727484129,
2016-12-31,2017-02-27,133932000,1724667000,2.02,,0.07765673025575372,
2017-12-31,2018-02-28,157436000,1838980000,2.36,,0.08561050147364299,
2018-12-31,2019-02-27,215931000,1939582000,3.24,,0.11132862647725128,
2019-12-31,2020-02-27,205104000,2118053000,3.12,,0.09683610372356122,
2020-12-31,2021-02-25,167319000,2177998000,2.62,,0.07682238459355793,
2021-12-31,2022-02-24,253922000,2308481000,4.0,,0.10999527394854018,
2022-12-31,2023-02-23,300232000,2044759000,4.78,,0.14683001762065848,
2023-12-31,2024-02-26,411768000,2447774000,6.62,,0.16822141259773166,
2024-12-31,2025-02-27,409167000,2796707000,6.57,,0.14630313436480832,
2025-12-31,2026-02-26,412293000,3251638000,6.62,,0.12679547969361904,
