fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-02,22356000,317560000,1.4,,,48554000,,0.07039929462148885,,,,
2010-12-31,2012-03-02,27171000,352733000,1.38,,220086000.0,68178000,,0.07702993482322323,,,,0.6239450235730708
2011-12-31,2012-03-02,34865000,393028000,1.75,,301587000.0,59521000,,0.08870869251045727,,,,0.767342275868386
2012-12-31,2013-03-01,38075000,428750000,1.91,,280971000.0,87241000,,0.08880466472303207,,,,0.6553259475218659
2013-12-31,2014-02-28,39330000,474091000,1.95,,226823000.0,81032000,,0.08295875686313386,,,,0.47843768390456687
2014-12-31,2015-02-27,40030000,500689000,2.0,,609651000.0,79160000,,0.07994982913545134,,,,1.217624113970948
2015-12-31,2016-03-08,39369000,523276000,2.0,,559883000.0,76319000,,0.07523563090988312,,,,1.0699573456455103
2016-12-31,2017-02-28,46584000,566004000,2.4,,519567000.0,80057000,,0.0823033052769945,,,,0.917956410202048
2017-12-31,2018-02-28,62876000,616030000,3.27,,494225000.0,117191000,,0.10206645780237976,,,,0.8022742398909144
2018-12-31,2019-02-27,61400000,660417000,3.18,,553445000.0,74670000,,0.09297156190709809,,,,0.8380235517862199
2019-12-31,2020-02-28,68938000,714551000,3.59,,682666000.0,91440000,,0.09647736830541137,,,,0.9553775727694734
2020-12-31,2021-02-26,54959000,746961000,2.87,,920329000.0,173145000,,0.07357679985969816,,,,1.232097793592972
2021-12-31,2022-02-25,71132000,803470000,3.72,,1046064000.0,110205000,,0.08853099680137404,,,,1.3019328661928884
2022-12-31,2023-03-01,64243000,853211000,3.38,,1239047000.0,162206000,,0.07529555994941463,,,,1.452216391959316
2023-12-31,2024-02-28,82612000,917585000,4.35,,1094187000.0,152383000,,0.09003198613752404,,,,1.1924639134249144
2024-12-31,2025-02-28,110170000,982459000,5.82,,1083894000.0,171544000,,0.11213699502981804,,,,1.1032460387659944
2025-12-31,2026-02-27,91588000,1028482000,4.95,,1021689000.0,141870000,,0.08905163143351075,,,,0.9933951201868385
