fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2015-12-25,2018-03-13,5626000,74678000,-517.68,,,26690000,1367000,0.07533677923886553,,25323000,,
2016-12-30,2018-03-13,16662000,141659000,0.7,,140832000.0,27730000,4268000,0.11762048299084421,,23462000,,0.9941620370043556
2017-12-29,2018-03-13,56454000,216762000,2.15,,340922000.0,38803000,8226000,0.260442328452404,,30577000,,1.572794124431404
2018-12-28,2019-03-08,57883000,198326000,2.3,,287163000.0,60475000,13920000,0.2918578502062261,,46555000,,1.4479342093321097
2019-12-27,2020-03-06,10729000,221416000,0.47,,345139000.0,57150000,12343000,0.04845629945442064,,44807000,,1.55878075658489
2020-12-25,2021-03-05,33279000,411689000,1.42,,362483000.0,38259000,10301000,0.08083529071702183,,27958000,,0.8804777392643476
2021-12-31,2022-02-28,70899000,500715000,2.45,,520161000.0,15272000,20839000,0.1415955184086756,,-5567000,,1.038836463856685
2022-12-30,2023-02-24,72804000,587496000,2.51,,496246000.0,31453000,29433000,0.12392254585563135,,2020000,,0.8446797935645519
2023-12-29,2024-02-23,-42985000,564677000,-1.47,,373804000.0,57632000,15496000,-0.07612316421600313,,42136000,,0.6619784407723354
2024-12-27,2025-02-21,-20820000,698336000,-0.64,,297228000.0,27880000,17636000,-0.029813728634926453,,10244000,,0.42562319571094714
2025-12-26,2026-02-20,-52781000,663886000,-1.54,,278993000.0,29886000,36169000,-0.07950310746122075,,-6283000,,0.42024233076160666
