fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-23,98414000,1302437000,2.17,,,136513000,243544000,0.07556142830708894,,-107031000,,
2009-12-31,2011-02-23,124350000,1397335000,2.64,,,284425000,251937000,0.0889908289708624,,32488000,,
2010-12-31,2011-02-23,142798000,1532113000,2.95,,,305400000,338252000,0.0932033081110858,,-32852000,,
2011-12-31,2012-02-22,166693000,1657654000,3.36,,,310243000,337765000,0.10055958601734741,,-27522000,,
2012-12-31,2013-02-21,168761000,1758753000,3.37,,,249269000,239761000,0.0959549180584198,,9508000,,
2013-12-31,2014-02-20,182417000,1850650000,3.64,,,305549000,235310000,0.09856915137924513,,70239000,,
2014-12-31,2015-02-19,193480000,1953201000,3.85,,,364343000,274094000,0.09905790545878279,,90249000,,
2015-12-31,2016-02-18,194679000,2057884000,3.87,,,353194000,294021000,0.09460154216661386,,59173000,,
2016-12-31,2017-02-23,198288000,2153906000,3.94,,,347706000,296950000,0.09205972776899271,,50756000,,
2017-12-31,2018-02-22,212419000,2251385000,4.21,,,438020000,285488000,0.09435036655214457,,152532000,,
2018-12-31,2019-02-21,226801000,2370360000,4.49,,,491626000,277853000,0.09568209048414587,,213773000,,
2019-12-31,2020-02-20,232854000,2464628000,4.61,,,366625000,278705000,0.09447835535423602,,87920000,,
2020-12-31,2021-02-18,237417000,2559980000,4.69,,,388131000,310938000,0.09274174016984507,,77193000,,
2021-12-31,2022-02-17,245550000,2668436000,4.85,,,363264000,299999000,0.09202019460088232,,63265000,,
2022-12-31,2023-02-16,258982000,2807239000,5.11,,,351285000,432589000,0.09225505915242699,,-81304000,,
2023-12-31,2024-02-15,261195000,2907569000,5.14,,,267027000,611137000,0.08983277782917619,,-344110000,,
2024-12-31,2025-02-20,289174000,3330954000,5.5,,,594417000,1009279000,0.08681416795308491,,-414862000,,
2025-12-31,2026-02-19,323472000,3571874000,5.9,,,601838000,1179327000,0.09056086524888615,,-577489000,,
