fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2009-12-31,2012-03-08,-525515,21579141,-0.02,,,319814.0,168621.0,-0.02435291562347176,,151193.0,,
2010-12-31,2012-03-08,-2573223,19785613,-0.1,,4188263.0,-1150395.0,275043.0,-0.13005525782799857,,-1425438.0,,0.2116822460845666
2011-12-31,2012-03-08,-290859,19755396,-0.01,,3189756.0,-71864.0,49647.0,-0.014723015423229178,,-121511.0,,0.16146251889863408
2012-12-31,2013-03-27,-2260086,17678435,-0.08,,2782313.0,345585.0,184303.0,-0.12784423508076365,,161282.0,,0.15738457617996163
2013-12-31,2014-03-25,-2424256,15356304,-0.09,,2545913.0,,80842.0,-0.15786715345046567,,,,0.16578943735419668
2014-12-31,2015-03-30,-7644230,13148037,-1.59,,2665670.0,-2373886.0,131473.0,-0.5813970556973638,,-2505359.0,,0.20274281248219791
2015-12-31,2016-03-25,-5333951,16326412,-0.55,,2146422.0,-4436264.0,126618.0,-0.3267068722754271,,-4562882.0,,0.13146930262448356
2016-12-31,2017-03-30,-5734681,12935451,-0.1,,1598074.0,-4240418.0,64075.0,-0.4433305804335697,,-4304493.0,,0.12354219423814446
2017-12-31,2018-03-23,-6020505,16009053,-0.19,,1873051.0,-3745285.0,37614.0,-0.37606877808450007,,-3782899.0,,0.11699948772735026
2018-12-31,2019-03-21,-3963576,12919705,-0.04,,1541076.0,-4220611.0,141526.0,-0.3067853329468436,,-4362137.0,,0.1192810516958398
2019-12-31,2020-03-19,-2548711,11749513,0.01,,2247658.0,-1840850.0,20088.0,-0.2169205651332102,,-1860938.0,,0.1912979712435741
2020-12-31,2021-03-29,558397,22211441,0.03,,2129033.0,-19022.0,44900.0,0.02514006182669553,,-63922.0,,0.0958529885566632
2021-12-31,2022-03-24,-4146000,21199000,-0.22,,4512000.0,1116000.0,,-0.19557526298410302,,,,0.21284022831265625
2022-12-31,2023-03-28,-3851000,18504000,-0.2,,3949000.0,-3480000.0,192000.0,-0.20811716385646348,,-3672000.0,,0.21341331603977517
2022-03-31,2024-04-01,-1544000,18333000,-0.08,,,,,-0.08421971308569247,,,,
2022-06-30,2024-04-01,-2714000,17683000,-0.14,,,,,-0.15348074421761013,,,,
2022-09-30,2024-04-01,-3512000,17581000,-0.19,,,,,-0.1997611057391502,,,,
2023-03-31,2024-04-01,-1387000,16922000,-0.07,,,,,-0.08196430681952488,,,,
2023-06-30,2024-04-01,-2240000,16353000,-0.12,,,,,-0.13697792453983978,,,,
2023-09-30,2024-04-01,-2964000,16007000,-0.15,,,,,-0.18516898856750172,,,,
2023-12-31,2024-04-01,-1980000,17276000,-0.1,,6532000.0,-647000.0,93000.0,-0.11460986339430423,,-740000.0,,0.37809678166242183
2024-12-31,2025-03-31,-918000,17747000,-0.05,,3186000.0,-2694000.0,57000.0,-0.051727052459570634,,-2751000.0,,0.17952329971262748
2025-12-31,2026-03-19,1273000,20697000,0.06,,3784000.0,4541000.0,52000.0,0.06150649852635648,,4489000.0,,0.1828284292409528
