fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-28,-540828,3067030,,,222359,-547942,21043.0,-0.17633606453148484,,-568985.0,,0.07249977991737935
2011-12-31,2012-03-28,-7233754,3205190,,,685614,-5217585,3352543.0,-2.256887735204465,,-8570128.0,,0.2139074438644823
2012-12-31,2013-03-29,-8509851,1945760,,,723538,-4840429,4438577.0,-4.373535790642217,,-9279006.0,,0.37185367157306143
2013-12-31,2015-03-31,-798977,2459248,,,566201,-334525,-10084.0,-0.32488671333675984,,-324441.0,,0.23023338841792287
2014-12-31,2015-03-31,-1436129,2706737,,,860329,-1204681,-600869.0,-0.5305757448913582,,-603812.0,,0.31784728253982564
2015-12-31,2016-03-28,-282088,2609307,,94760148.0,2008052,-117305,-133260.0,-0.10810839813023151,0.027535910982325607,15955.0,0.0001683724681392435,0.7695729172535083
2016-12-31,2017-03-31,-1361008,2003632,,,3712068,-672941,-131657.0,-0.6792704448721122,,-541284.0,,1.8526695520933985
2017-12-31,2018-02-26,-22124,3735193,,,2532360,337619,-144464.0,-0.005923120973936286,,482083.0,,0.6779729989855946
2018-12-31,2019-04-01,752279,6072675,,,1492842,-1415135,-317485.0,0.12387934476980902,,-1097650.0,,0.24582939149551064
2019-12-31,2020-03-23,-726507,5653089,,,2195204,206407,,-0.12851504726000246,,,,0.38831937724666993
2020-12-31,2021-03-31,-739939,8313276,,,3404897,-482418,,-0.0890069089490112,,,,0.40957343410708363
2021-12-31,2022-03-31,-3260361,10171801,,,4855399,-1351027,664645.0,-0.3205293733135361,,-2015672.0,,0.4773391654044353
2022-12-31,2023-03-31,-2631092,14877238,,,3270551,-1817090,1441874.0,-0.1768535261719951,,-3258964.0,,0.21983589964750178
2023-12-31,2024-03-25,1073449,17753101,0.09,,3354191,2104009,772245.0,0.06046543643276744,,1331764.0,,0.18893549921222214
2024-12-31,2025-03-31,8836685,37685365,0.67,,3608316,10838806,2219147.0,0.23448585412400808,,8619659.0,,0.0957484689348239
2025-12-31,2026-03-23,16715674,108169742,1.14,,5396782,19101691,6714393.0,0.15453188378687266,,12387298.0,,0.049891789517257056
