fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-07-31,2013-10-15,38648000,102230000,1.75,,348389000,,10830000,0.3780494962339822,,,,3.407893964589651
2013-07-31,2013-10-15,11607000,88603000,0.52,,346271000,,14537000,0.13100007900409694,,,,3.9081182352742005
2014-07-31,2014-10-14,18784000,100239000,0.82,,379767000,,17021000,0.18739213280260178,,,,3.788615209648939
2015-07-31,2015-10-14,84490000,133831000,3.63,,350742000,30534000.0,28556000,0.6313186033131337,,1978000.0,,2.6207829277222765
2016-07-31,2016-10-14,23514000,123797000,1.03,,345455000,49054000.0,18370000,0.18993998239052642,,30684000.0,,2.7904957309143192
2017-07-31,2017-10-16,8177000,145734000,0.35,,364406000,19014000.0,22949000,0.05610907543881318,,-3935000.0,,2.5004871889881564
2018-07-31,2018-10-15,4208000,30664000,0.17,,368294000,6894000.0,20567000,0.13722932428906862,,-13673000.0,,12.010631359248631
2019-07-31,2019-10-11,134000,56244000,0.01,,390146000,85137000.0,18681000,0.0023824763530332126,,66456000.0,,6.93666880022758
2020-07-31,2020-10-14,21430000,74772000,0.81,,333611000,-29591000.0,16041000,0.28660461135184295,,-45632000.0,,4.461710265874927
2021-07-31,2021-10-14,96475000,164864000,3.7,,346041000,66620000.0,16765000,0.5851792993012422,,49855000.0,,2.0989482239906834
2022-07-31,2022-10-14,27028000,167615000,1.03,,316266000,29407000.0,21879000,0.16125048474181905,,7528000.0,,1.8868597679205321
2023-07-31,2023-10-16,40492000,193729000,1.58,,300342000,54140000.0,21958000,0.2090136221216235,,32182000.0,,1.5503202927801207
2024-07-31,2024-10-15,64454000,246183000,2.54,,283539000,78191000.0,18922000,0.2618133664794076,,59269000.0,,1.1517407782015818
2025-07-31,2025-09-29,76094000,305131000,3.01,,295787000,127061000.0,20770000,0.2493814132290721,,106291000.0,,0.9693770872182768
