fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2014-03-31,5606000,61350000,1.95,,575017000,,309000,0.09137734311328444,,,,9.372730236348819
2013-12-31,2014-03-31,4593000,90908000,1.51,,711434000,,7187000,0.0505236062832754,,,,7.825867910414925
2014-12-31,2015-03-13,4324000,96785000,0.96,,873718000,,915000,0.04467634447486697,,,,9.027411272407914
2015-12-31,2016-03-10,8929000,104330000,1.96,,1165540000,,2543000,0.0855842039681779,,,,11.17166682641618
2016-12-31,2017-03-14,12074000,153942000,2.3,,1700393000,,3173000,0.07843213677878681,,,,11.045673045692533
2017-12-31,2018-03-08,15226000,224127000,2.13,,2543560000,24624000.0,1517000,0.06793469773833585,,23107000.0,,11.34874423875749
2018-12-31,2019-03-14,21900000,288735000,2.3,,3252957000,29356000.0,2219000,0.07584809600498728,,27137000.0,,11.266237207127643
2019-12-31,2020-03-12,25239000,304913000,2.51,,3795170000,-43577000.0,4105000,0.08277443073926005,,-47682000.0,,12.446730706791774
2020-12-31,2021-03-15,29453000,330944000,2.99,,3915212000,13068000.0,25559000,0.08899692999419842,,-12491000.0,,11.830436569328949
2021-12-31,2022-03-15,48114000,380338000,4.82,,3830656000,54840000.0,29892000,0.12650326814570198,,24948000.0,,10.071715158622068
2022-12-31,2023-03-14,35541000,364974000,3.7,,4178130000,82723000.0,17517000,0.09737953936444788,,65206000.0,,11.44774696279735
2023-12-31,2024-03-13,8417000,362795000,0.95,,4804777000,11680000.0,5367000,0.0232004299949007,,6313000.0,,13.243779544922063
2024-12-31,2025-03-12,25276000,384063000,2.88,,5353796000,12992000.0,2592000,0.06581211936583321,,10400000.0,,13.939890070118704
2025-12-31,2026-03-11,-35168000,359767000,-4.03,,5211880000,3449000.0,1228000,-0.09775215625668836,,2221000.0,,14.486820636689858
