fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-04-27,564000,-80770000,-19.97,,,,2024000.0,-0.006982790640089142,,,,
2013-12-31,2015-04-27,25435000,-62372000,0.68,,26098000.0,,3030000.0,-0.40779516449688963,,,,
2014-12-31,2015-04-27,6826000,118150000,0.3,,21935000.0,,1551000.0,0.05777401608125265,,,,0.18565382987727466
2015-12-31,2016-03-14,11585000,134018000,0.56,,27296000.0,,2208000.0,0.0864436120521124,,,,0.2036741333253742
2016-03-31,2017-02-28,2521000,150571000,0.12,,,,,0.01674293190587829,,,,
2016-06-30,2017-02-28,10013000,162235000,0.48,,,,,0.061719111165901314,,,,
2016-09-30,2017-02-28,15259000,172605000,0.73,,,,,0.08840415978679644,,,,
2016-12-31,2017-02-28,20519000,182088000,0.97,,31961000.0,31034000.0,1718000.0,0.11268727208822107,,29316000.0,,0.17552502086903035
2017-12-31,2018-02-27,21002000,227041000,0.96,,48031000.0,60494000.0,2914000.0,0.09250311617725433,,57580000.0,,0.21155209851965062
2018-12-31,2019-02-26,51845000,310424000,2.3,,65474000.0,59977000.0,8043000.0,0.16701350411050692,,51934000.0,,0.21091797026003145
2019-12-31,2020-02-25,20950000,344621000,0.94,,102718000.0,40593000.0,3143000.0,0.060791420139805756,,37450000.0,,0.29806076820623234
2020-12-31,2021-02-24,-5829000,349623000,-0.27,,112229000.0,37013000.0,4385000.0,-0.01667224410293373,,32628000.0,,0.3210000486238034
2021-12-31,2022-02-24,-6333000,370227000,-0.28,,119286000.0,23633000.0,5482000.0,-0.017105721624840975,,18151000.0,,0.32219692242867215
2022-12-31,2023-02-24,-83772000,297406000,-3.67,,107635000.0,-37532000.0,3337000.0,-0.28167555462902566,,-40869000.0,,0.3619126715668144
2023-12-31,2024-03-01,-102449000,204812000,-4.42,,121382000.0,-3234000.0,5218000.0,-0.5002099486358221,,-8452000.0,,0.5926508212409429
2024-12-31,2025-02-28,-35888000,173860000,-1.52,,122325000.0,5914000.0,3360000.0,-0.20641895778212355,,2554000.0,,0.7035833429195905
2025-12-31,2026-02-27,-22747000,192231000,-0.86,,106394000.0,-11216000.0,2523000.0,-0.11833159063834657,,-13739000.0,,0.5534695236460301
