fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2019-02-26,-18528000,-6608000,,,,-17949000,306000,2.803874092009685,,-18255000,,
2017-12-31,2019-02-26,-17511000,1327000,,,23764000.0,-15791000,412000,-13.195930670685758,,-16203000,,17.908063300678222
2018-12-31,2019-02-26,-21828000,163999000,,,36081000.0,-18694000,250000,-0.13309837255105214,,-18944000,,0.22000743906975043
2019-12-31,2020-02-25,-33243000,139835000,-1.4,,41418000.0,-32846000,2739000,-0.23773018200021453,,-35585000,,0.2961919405013051
2020-12-31,2021-02-24,-57203000,229747000,-2.19,,51442000.0,-53045000,2455000,-0.24898257648630887,,-55500000,,0.22390716744941175
2021-12-31,2022-02-15,-42042000,229048000,-1.54,,66036000.0,-20119000,4668000,-0.18355104606894626,,-24787000,,0.288306381195208
2022-12-31,2023-02-10,-44881000,496008000,-1.6,,68868000.0,11569000,9096000,-0.09048442767052145,,2473000,,0.1388445347655683
2023-12-31,2024-02-09,-21153000,572514000,-0.72,,104297000.0,24653000,23629000,-0.03694756809440468,,1024000,,0.18217371103588734
2024-12-31,2025-02-10,53509000,689695000,1.75,,118688000.0,130246000,39123000,0.07758356954885855,,91123000,,0.17208766193752312
2025-12-31,2026-02-13,145422000,781160000,4.89,,126157000.0,116976000,38499000,0.18616160581699012,,78477000,,0.1614995647498592
